stage_history_id,opp_id,stage,entered_at,exited_at,days_in_stage
137,33,Negotiation,2023-02-18T00:00:00,2023-03-20T00:00:00,30
138,33,Closed Won,2023-03-20T00:00:00,2023-03-20T00:00:00,0
139,34,Prospecting,2024-12-30T00:00:00,2025-01-14T00:00:00,15
140,34,Discovery,2025-01-14T00:00:00,2025-02-02T00:00:00,19
141,34,Qualification,2025-02-02T00:00:00,,
142,35,Prospecting,2023-12-24T00:00:00,,
143,36,Prospecting,2021-11-14T00:00:00,,
144,37,Prospecting,2024-09-09T00:00:00,,
145,38,Prospecting,2024-06-09T00:00:00,2024-07-10T00:00:00,31
146,38,Discovery,2024-07-10T00:00:00,2024-08-24T00:00:00,45
147,38,Qualification,2024-08-24T00:00:00,2024-09-04T00:00:00,11
148,38,Proposal,2024-09-04T00:00:00,2024-10-02T00:00:00,28
149,38,Negotiation,2024-10-02T00:00:00,2024-11-20T00:00:00,49
150,38,Closed Won,2024-11-20T00:00:00,2024-12-21T00:00:00,31
151,38,Closed Lost,2024-12-21T00:00:00,2024-12-21T00:00:00,0
152,39,Prospecting,2022-09-01T00:00:00,2022-09-11T00:00:00,10
153,39,Discovery,2022-09-11T00:00:00,2022-09-24T00:00:00,13
154,39,Qualification,2022-09-24T00:00:00,,
155,40,Prospecting,2024-03-29T00:00:00,2024-04-07T00:00:00,9
156,40,Discovery,2024-04-07T00:00:00,2024-04-29T00:00:00,22
157,40,Qualification,2024-04-29T00:00:00,,
158,41,Prospecting,2023-02-02T00:00:00,2023-02-11T00:00:00,9
159,41,Discovery,2023-02-11T00:00:00,2023-03-03T00:00:00,20
160,41,Qualification,2023-03-03T00:00:00,2023-03-14T00:00:00,11
161,41,Proposal,2023-03-14T00:00:00,,
162,42,Prospecting,2023-05-31T00:00:00,2023-06-13T00:00:00,13
163,42,Discovery,2023-06-13T00:00:00,,
164,43,Prospecting,2024-11-07T00:00:00,,
165,44,Prospecting,2020-11-19T00:00:00,2020-11-22T00:00:00,3
166,44,Discovery,2020-11-22T00:00:00,2020-11-27T00:00:00,5
167,44,Qualification,2020-11-27T00:00:00,2020-12-03T00:00:00,6
168,44,Proposal,2020-12-03T00:00:00,2020-12-05T00:00:00,2
169,44,Negotiation,2020-12-05T00:00:00,2020-12-08T00:00:00,3
170,44,Closed Won,2020-12-08T00:00:00,2020-12-14T00:00:00,6
171,44,Closed Lost,2020-12-14T00:00:00,2020-12-14T00:00:00,0
172,45,Prospecting,2024-04-23T00:00:00,,
173,46,Prospecting,2024-07-18T00:00:00,2024-07-22T00:00:00,4
174,46,Discovery,2024-07-22T00:00:00,2024-08-07T00:00:00,16
175,46,Qualification,2024-08-07T00:00:00,,
176,47,Prospecting,2024-03-09T00:00:00,2024-03-10T00:00:00,1
177,47,Discovery,2024-03-10T00:00:00,2024-03-16T00:00:00,6
178,47,Qualification,2024-03-16T00:00:00,2024-03-19T00:00:00,3
179,47,Proposal,2024-03-19T00:00:00,2024-03-21T00:00:00,2
180,47,Negotiation,2024-03-21T00:00:00,2024-03-26T00:00:00,5
181,47,Closed Won,2024-03-26T00:00:00,2024-03-27T00:00:00,1
182,47,Closed Lost,2024-03-27T00:00:00,2024-03-27T00:00:00,0
183,48,Prospecting,2022-05-03T00:00:00,2022-05-25T00:00:00,22
184,48,Discovery,2022-05-25T00:00:00,2022-06-07T00:00:00,13
185,48,Qualification,2022-06-07T00:00:00,,
186,49,Prospecting,2024-07-09T00:00:00,,
187,50,Prospecting,2024-10-03T00:00:00,2024-10-14T00:00:00,11
188,50,Discovery,2024-10-14T00:00:00,2024-11-01T00:00:00,18
189,50,Qualification,2024-11-01T00:00:00,2024-11-18T00:00:00,17
190,50,Proposal,2024-11-18T00:00:00,,
191,1,Prospecting,2024-01-20T00:00:00,2024-02-07T00:00:00,18
192,1,Discovery,2024-02-07T00:00:00,2024-02-27T00:00:00,20
193,1,Qualification,2024-02-27T00:00:00,2024-03-13T00:00:00,15
194,1,Proposal,2024-03-13T00:00:00,2024-03-26T00:00:00,13
195,1,Negotiation,2024-03-26T00:00:00,,
196,52,Prospecting,2024-04-03T00:00:00,2024-04-12T00:00:00,9
197,52,Discovery,2024-04-12T00:00:00,2024-04-29T00:00:00,17
198,52,Qualification,2024-04-29T00:00:00,,
199,53,Prospecting,2022-10-12T00:00:00,2022-10-18T00:00:00,6
200,53,Discovery,2022-10-18T00:00:00,2022-11-12T00:00:00,25
201,53,Qualification,2022-11-12T00:00:00,2022-12-01T00:00:00,19
202,53,Proposal,2022-12-01T00:00:00,,
203,54,Prospecting,2021-06-09T00:00:00,2021-06-22T00:00:00,13
204,54,Discovery,2021-06-22T00:00:00,,
205,55,Prospecting,2024-10-05T00:00:00,2024-10-17T00:00:00,12
206,55,Discovery,2024-10-17T00:00:00,2024-11-06T00:00:00,20
207,55,Qualification,2024-11-06T00:00:00,2024-11-18T00:00:00,12
208,55,Proposal,2024-11-18T00:00:00,,
209,56,Prospecting,2024-05-19T00:00:00,2024-05-31T00:00:00,12
210,56,Discovery,2024-05-31T00:00:00,2024-06-22T00:00:00,22
211,56,Qualification,2024-06-22T00:00:00,,
212,57,Prospecting,2024-09-23T00:00:00,,
213,58,Prospecting,2023-05-13T00:00:00,2023-05-24T00:00:00,11
214,58,Discovery,2023-05-24T00:00:00,,
215,59,Prospecting,2024-11-09T00:00:00,2024-11-26T00:00:00,17
216,59,Discovery,2024-11-26T00:00:00,,
217,60,Prospecting,2024-09-22T00:00:00,2024-09-25T00:00:00,3
218,60,Discovery,2024-09-25T00:00:00,2024-10-13T00:00:00,18
219,60,Qualification,2024-10-13T00:00:00,2024-10-16T00:00:00,3
220,60,Proposal,2024-10-16T00:00:00,2024-10-23T00:00:00,7
221,60,Negotiation,2024-10-23T00:00:00,2024-11-03T00:00:00,11
222,60,Closed Won,2024-11-03T00:00:00,2024-11-11T00:00:00,8
223,60,Closed Lost,2024-11-11T00:00:00,2024-11-11T00:00:00,0
224,8,Prospecting,2024-10-15T00:00:00,2024-10-24T00:00:00,9
225,8,Discovery,2024-10-24T00:00:00,2024-11-12T00:00:00,19
226,8,Qualification,2024-11-12T00:00:00,2024-11-16T00:00:00,4
227,8,Proposal,2024-11-16T00:00:00,2024-11-22T00:00:00,6
228,8,Negotiation,2024-11-22T00:00:00,2024-12-12T00:00:00,20
229,8,Closed Won,2024-12-12T00:00:00,2024-12-27T00:00:00,15
230,8,Closed Lost,2024-12-27T00:00:00,2024-12-27T00:00:00,0
231,62,Prospecting,2024-10-17T00:00:00,,
232,63,Prospecting,2023-12-11T00:00:00,2023-12-19T00:00:00,8
233,63,Discovery,2023-12-19T00:00:00,2024-01-09T00:00:00,21
234,63,Qualification,2024-01-09T00:00:00,2024-01-28T00:00:00,19
235,63,Proposal,2024-01-28T00:00:00,,
236,64,Prospecting,2020-11-22T00:00:00,2020-12-08T00:00:00,16
237,64,Discovery,2020-12-08T00:00:00,2020-12-30T00:00:00,22
238,64,Qualification,2020-12-30T00:00:00,,
239,65,Prospecting,2024-02-27T00:00:00,2024-03-15T00:00:00,17
240,65,Discovery,2024-03-15T00:00:00,2024-03-23T00:00:00,8
241,65,Qualification,2024-03-23T00:00:00,2024-04-08T00:00:00,16
242,65,Proposal,2024-04-08T00:00:00,,
243,66,Prospecting,2024-09-10T00:00:00,2024-09-26T00:00:00,16
244,66,Discovery,2024-09-26T00:00:00,,
245,67,Prospecting,2023-10-23T00:00:00,2023-11-10T00:00:00,18
246,67,Discovery,2023-11-10T00:00:00,2023-11-17T00:00:00,7
247,67,Qualification,2023-11-17T00:00:00,2023-12-10T00:00:00,23
248,67,Proposal,2023-12-10T00:00:00,,
249,68,Prospecting,2024-10-23T00:00:00,,
250,2,Prospecting,2024-03-18T00:00:00,2024-03-23T00:00:00,5
251,2,Discovery,2024-03-23T00:00:00,2024-04-05T00:00:00,13
252,2,Qualification,2024-04-05T00:00:00,2024-04-22T00:00:00,17
253,2,Proposal,2024-04-22T00:00:00,2024-04-24T00:00:00,2
254,2,Negotiation,2024-04-24T00:00:00,2024-05-13T00:00:00,19
255,2,Closed Won,2024-05-13T00:00:00,2024-05-27T00:00:00,14
256,2,Closed Lost,2024-05-27T00:00:00,2024-05-27T00:00:00,0
257,70,Prospecting,2024-12-06T00:00:00,,
258,71,Prospecting,2023-04-19T00:00:00,2023-04-30T00:00:00,11
259,71,Discovery,2023-04-30T00:00:00,2023-05-19T00:00:00,19
260,71,Qualification,2023-05-19T00:00:00,2023-06-05T00:00:00,17
261,71,Proposal,2023-06-05T00:00:00,2023-06-16T00:00:00,11
262,71,Negotiation,2023-06-16T00:00:00,,
263,72,Prospecting,2021-02-04T00:00:00,2021-03-02T00:00:00,26
264,72,Discovery,2021-03-02T00:00:00,2021-03-30T00:00:00,28
265,72,Qualification,2021-03-30T00:00:00,2021-05-01T00:00:00,32
266,72,Proposal,2021-05-01T00:00:00,2021-05-20T00:00:00,19
267,72,Negotiation,2021-05-20T00:00:00,2021-06-14T00:00:00,25
268,72,Closed Won,2021-06-14T00:00:00,2021-07-12T00:00:00,28
269,72,Closed Lost,2021-07-12T00:00:00,2021-07-12T00:00:00,0
270,73,Prospecting,2024-09-06T00:00:00,2024-09-22T00:00:00,16
271,73,Discovery,2024-09-22T00:00:00,2024-10-15T00:00:00,23
272,73,Qualification,2024-10-15T00:00:00,2024-10-30T00:00:00,15
273,73,Proposal,2024-10-30T00:00:00,2024-11-14T00:00:00,15
274,73,Negotiation,2024-11-14T00:00:00,2024-12-09T00:00:00,25
275,73,Closed Won,2024-12-09T00:00:00,2024-12-28T00:00:00,19
276,73,Closed Lost,2024-12-28T00:00:00,2024-12-28T00:00:00,0
277,74,Prospecting,2024-09-01T00:00:00,2024-09-17T00:00:00,16
278,74,Discovery,2024-09-17T00:00:00,2024-10-12T00:00:00,25
279,74,Qualification,2024-10-12T00:00:00,2024-10-16T00:00:00,4
280,74,Proposal,2024-10-16T00:00:00,,
281,75,Prospecting,2024-08-10T00:00:00,2024-08-18T00:00:00,8
282,75,Discovery,2024-08-18T00:00:00,2024-09-05T00:00:00,18
283,75,Qualification,2024-09-05T00:00:00,2024-09-17T00:00:00,12
284,75,Proposal,2024-09-17T00:00:00,2024-09-21T00:00:00,4
285,75,Negotiation,2024-09-21T00:00:00,2024-10-11T00:00:00,20
286,75,Closed Won,2024-10-11T00:00:00,2024-10-21T00:00:00,10
287,75,Closed Lost,2024-10-21T00:00:00,2024-10-21T00:00:00,0
288,76,Prospecting,2024-12-07T00:00:00,,
289,77,Prospecting,2024-05-12T00:00:00,2024-05-18T00:00:00,6
290,77,Discovery,2024-05-18T00:00:00,2024-05-29T00:00:00,11
291,77,Qualification,2024-05-29T00:00:00,2024-06-20T00:00:00,22
292,77,Proposal,2024-06-20T00:00:00,2024-07-05T00:00:00,15
293,77,Negotiation,2024-07-05T00:00:00,,
294,78,Prospecting,2024-04-24T00:00:00,2024-05-08T00:00:00,14
295,78,Discovery,2024-05-08T00:00:00,2024-05-19T00:00:00,11
296,78,Qualification,2024-05-19T00:00:00,2024-06-03T00:00:00,15
297,78,Proposal,2024-06-03T00:00:00,2024-06-08T00:00:00,5
298,78,Negotiation,2024-06-08T00:00:00,2024-06-26T00:00:00,18
299,78,Closed Won,2024-06-26T00:00:00,2024-06-26T00:00:00,0
300,79,Prospecting,2024-07-01T00:00:00,,
301,80,Prospecting,2021-05-06T00:00:00,2021-05-23T00:00:00,17
302,80,Discovery,2021-05-23T00:00:00,2021-06-17T00:00:00,25
303,80,Qualification,2021-06-17T00:00:00,2021-07-13T00:00:00,26
304,80,Proposal,2021-07-13T00:00:00,2021-07-30T00:00:00,17
305,80,Negotiation,2021-07-30T00:00:00,2021-09-03T00:00:00,35
306,80,Closed Won,2021-09-03T00:00:00,2021-09-21T00:00:00,18
307,80,Closed Lost,2021-09-21T00:00:00,2021-09-21T00:00:00,0
308,9,Prospecting,2024-05-18T00:00:00,2024-06-08T00:00:00,21
309,9,Discovery,2024-06-08T00:00:00,2024-06-17T00:00:00,9
310,9,Qualification,2024-06-17T00:00:00,2024-07-15T00:00:00,28
311,9,Proposal,2024-07-15T00:00:00,2024-07-22T00:00:00,7
312,9,Negotiation,2024-07-22T00:00:00,2024-08-21T00:00:00,30
313,9,Closed Won,2024-08-21T00:00:00,2024-09-05T00:00:00,15
314,9,Closed Lost,2024-09-05T00:00:00,2024-09-05T00:00:00,0
315,82,Prospecting,2024-12-23T00:00:00,2025-01-05T00:00:00,13
316,82,Discovery,2025-01-05T00:00:00,,
317,83,Prospecting,2024-12-01T00:00:00,2024-12-16T00:00:00,15
318,83,Discovery,2024-12-16T00:00:00,2024-12-28T00:00:00,12
319,83,Qualification,2024-12-28T00:00:00,2025-01-24T00:00:00,27
320,83,Proposal,2025-01-24T00:00:00,2025-01-31T00:00:00,7
321,83,Negotiation,2025-01-31T00:00:00,,
322,84,Prospecting,2021-11-13T00:00:00,2021-12-02T00:00:00,19
323,84,Discovery,2021-12-02T00:00:00,,
324,85,Prospecting,2022-01-01T00:00:00,2022-01-18T00:00:00,17
325,85,Discovery,2022-01-18T00:00:00,2022-01-26T00:00:00,8
326,85,Qualification,2022-01-26T00:00:00,,
327,86,Prospecting,2024-12-05T00:00:00,2024-12-21T00:00:00,16
328,86,Discovery,2024-12-21T00:00:00,2024-12-31T00:00:00,10
329,86,Qualification,2024-12-31T00:00:00,2025-01-15T00:00:00,15
330,86,Proposal,2025-01-15T00:00:00,,
331,87,Prospecting,2021-07-09T00:00:00,2021-07-19T00:00:00,10
332,87,Discovery,2021-07-19T00:00:00,2021-08-04T00:00:00,16
333,87,Qualification,2021-08-04T00:00:00,2021-08-15T00:00:00,11
334,87,Proposal,2021-08-15T00:00:00,,
335,88,Prospecting,2024-05-08T00:00:00,2024-05-20T00:00:00,12
336,88,Discovery,2024-05-20T00:00:00,2024-06-09T00:00:00,20
337,88,Qualification,2024-06-09T00:00:00,,
338,89,Prospecting,2022-10-18T00:00:00,2022-11-01T00:00:00,14
339,89,Discovery,2022-11-01T00:00:00,2022-11-21T00:00:00,20
340,89,Qualification,2022-11-21T00:00:00,2022-12-04T00:00:00,13
341,89,Proposal,2022-12-04T00:00:00,,
342,90,Prospecting,2022-12-08T00:00:00,2022-12-10T00:00:00,2
343,90,Discovery,2022-12-10T00:00:00,2022-12-12T00:00:00,2
344,90,Qualification,2022-12-12T00:00:00,2022-12-17T00:00:00,5
345,90,Proposal,2022-12-17T00:00:00,2022-12-19T00:00:00,2
346,90,Negotiation,2022-12-19T00:00:00,2022-12-21T00:00:00,2
347,90,Closed Won,2022-12-21T00:00:00,2022-12-23T00:00:00,2
348,90,Closed Lost,2022-12-23T00:00:00,2022-12-23T00:00:00,0
349,91,Prospecting,2024-12-28T00:00:00,2025-01-07T00:00:00,10
350,91,Discovery,2025-01-07T00:00:00,2025-01-23T00:00:00,16
351,91,Qualification,2025-01-23T00:00:00,2025-02-12T00:00:00,20
352,91,Proposal,2025-02-12T00:00:00,,
353,92,Prospecting,2022-01-26T00:00:00,2022-02-04T00:00:00,9
354,92,Discovery,2022-02-04T00:00:00,,
355,93,Prospecting,2024-12-03T00:00:00,2024-12-15T00:00:00,12
356,93,Discovery,2024-12-15T00:00:00,2024-12-28T00:00:00,13
357,93,Qualification,2024-12-28T00:00:00,2025-01-15T00:00:00,18
358,93,Proposal,2025-01-15T00:00:00,,
359,94,Prospecting,2024-08-21T00:00:00,2024-08-27T00:00:00,6
360,94,Discovery,2024-08-27T00:00:00,2024-09-08T00:00:00,12
361,94,Qualification,2024-09-08T00:00:00,2024-09-17T00:00:00,9
362,94,Proposal,2024-09-17T00:00:00,2024-09-20T00:00:00,3
363,94,Negotiation,2024-09-20T00:00:00,2024-10-10T00:00:00,20
364,94,Closed Won,2024-10-10T00:00:00,2024-10-18T00:00:00,8
365,94,Closed Lost,2024-10-18T00:00:00,2024-10-18T00:00:00,0
366,95,Prospecting,2024-10-17T00:00:00,2024-10-27T00:00:00,10
367,95,Discovery,2024-10-27T00:00:00,2024-11-09T00:00:00,13
368,95,Qualification,2024-11-09T00:00:00,2024-11-24T00:00:00,15
369,95,Proposal,2024-11-24T00:00:00,2024-12-04T00:00:00,10
370,95,Negotiation,2024-12-04T00:00:00,2024-12-21T00:00:00,17
371,95,Closed Won,2024-12-21T00:00:00,2024-12-27T00:00:00,6
372,95,Closed Lost,2024-12-27T00:00:00,2024-12-27T00:00:00,0
373,96,Prospecting,2023-03-21T00:00:00,2023-03-24T00:00:00,3
374,96,Discovery,2023-03-24T00:00:00,2023-03-29T00:00:00,5
375,96,Qualification,2023-03-29T00:00:00,2023-04-03T00:00:00,5
376,96,Proposal,2023-04-03T00:00:00,2023-04-05T00:00:00,2
377,96,Negotiation,2023-04-05T00:00:00,2023-04-09T00:00:00,4
378,96,Closed Won,2023-04-09T00:00:00,2023-04-13T00:00:00,4
379,96,Closed Lost,2023-04-13T00:00:00,2023-04-13T00:00:00,0
380,97,Prospecting,2023-03-03T00:00:00,2023-03-12T00:00:00,9
381,97,Discovery,2023-03-12T00:00:00,,
382,98,Prospecting,2024-12-13T00:00:00,2025-01-02T00:00:00,20
383,98,Discovery,2025-01-02T00:00:00,2025-01-12T00:00:00,10
384,98,Qualification,2025-01-12T00:00:00,2025-01-17T00:00:00,5
385,98,Proposal,2025-01-17T00:00:00,,
386,99,Prospecting,2024-02-04T00:00:00,2024-02-18T00:00:00,14
387,99,Discovery,2024-02-18T00:00:00,2024-03-19T00:00:00,30
388,99,Qualification,2024-03-19T00:00:00,2024-04-06T00:00:00,18
389,99,Proposal,2024-04-06T00:00:00,2024-04-26T00:00:00,20
390,99,Negotiation,2024-04-26T00:00:00,2024-06-03T00:00:00,38
391,99,Closed Won,2024-06-03T00:00:00,2024-06-03T00:00:00,0
392,100,Prospecting,2024-09-15T00:00:00,2024-09-29T00:00:00,14
393,100,Discovery,2024-09-29T00:00:00,2024-10-19T00:00:00,20
394,100,Qualification,2024-10-19T00:00:00,2024-11-06T00:00:00,18
395,100,Proposal,2024-11-06T00:00:00,2024-11-10T00:00:00,4
