opp_id,account_id,owner_id,name,stage,amount,close_date,created_date,lead_source,forecast_category,is_won,is_closed,competitor,loss_reason,days_in_stage,next_step,opportunity_type,created_at
15,853,1,Zenith Dynamics - New Business,Qualification,212344,2025-04-30,2024-08-12,Webinar,Best Case,False,False,,,23,Send proposal,New Business,2024-08-12T00:00:00
16,826,9,Atlas Analytics - Platform Deal,Qualification,34796,2024-06-16,2024-03-25,Outbound - SDR,Best Case,False,False,,,60,Technical review,New Business,2024-03-25T00:00:00
17,479,4,Summit Enterprises - New Business,Discovery,6326,2024-04-21,2023-10-04,Partner Referral,Pipeline,False,False,CompetitorD,,23,POC setup,New Business,2023-10-04T00:00:00
18,424,3,Optima Technologies - New Business,Proposal,56364,2025-02-10,2024-06-02,Webinar,Best Case,False,False,,,39,Reference call,New Business,2024-06-02T00:00:00
19,459,1,Vanguard Dynamics - New Business,Prospecting,1050383,2022-04-28,2021-08-16,Outbound - AE,Pipeline,False,False,,,42,Legal review,New Business,2021-08-16T00:00:00
20,864,9,Acme Group - Platform Deal,Closed Lost,40497,2024-10-27,2024-08-11,Outbound - SDR,Omitted,False,True,Open Source Alternative,No Decision,22,,New Business,2024-08-11T00:00:00
21,671,7,Optima Holdings - New Business,Qualification,145028,2023-10-21,2023-04-10,Product-Led,Best Case,False,False,CompetitorC,,38,POC setup,New Business,2023-04-10T00:00:00
22,773,11,Fusion Partners - Platform Deal,Discovery,72530,2025-04-12,2024-11-10,Outbound - AE,Pipeline,False,False,CompetitorA,,41,Contract signing,New Business,2024-11-10T00:00:00
23,540,8,Elevate Platforms - New Business,Closed Lost,62146,2020-09-07,2020-10-06,Outbound - SDR,Omitted,False,True,,No Decision,59,,New Business,2020-10-06T00:00:00
24,10,12,Elevate Analytics - Initial License,Closed Won,22584,2023-02-11,2022-09-02,Webinar,Closed,True,True,CompetitorB,,36,,New Business,2022-09-02T00:00:00
25,890,13,Zenith Software - Initial License,Closed Lost,13110,2024-12-31,2024-07-01,Event,Omitted,False,True,CompetitorB,Feature Gap,57,,New Business,2024-07-01T00:00:00
26,968,2,Horizon Inc - Platform Deal,Proposal,21846,2022-06-26,2021-11-14,Inbound - Content,Best Case,False,False,CompetitorC,,18,POC setup,New Business,2021-11-14T00:00:00
27,366,16,Pinnacle Technologies - Platform Deal,Closed Lost,7302,2024-12-31,2024-10-18,Partner Referral,Omitted,False,True,,Champion Left,14,,New Business,2024-10-18T00:00:00
28,905,16,Nova Digital - New Business,Closed Lost,9109,2024-12-31,2024-10-22,Inbound - Content,Omitted,False,True,CompetitorB,Feature Gap,28,,New Business,2024-10-22T00:00:00
29,943,15,Atlas Group - New Business,Closed Lost,24329,2024-12-31,2024-12-04,Partner Referral,Omitted,False,True,,Timing,1,,New Business,2024-12-04T00:00:00
1,306,6,Global Inc - New Business,Prospecting,72567,2024-03-11,2024-01-06,,Pipeline,False,False,CompetitorA,,29,Send proposal,New Business,2024-01-06T00:00:00
31,478,1,Vertex Digital - Initial License,Negotiation,32958,2025-08-09,2024-12-08,Outbound - SDR,Commit,False,False,,,26,Send proposal,New Business,2024-12-08T00:00:00
32,266,15,Acme Enterprises - Platform Deal,Discovery,63128,2024-12-17,2024-10-21,Event,Pipeline,False,False,CompetitorB,,43,POC setup,New Business,2024-10-21T00:00:00
33,78,14,Apex Inc - New Business,Closed Won,32434,2023-03-23,2022-10-22,Event,Closed,True,True,CompetitorC,,6,,New Business,2022-10-22T00:00:00
34,420,8,Synergy Group - New Business,Qualification,8593,2025-08-25,2024-12-30,Inbound - Content,Best Case,False,False,CompetitorD,,38,,New Business,2024-12-30T00:00:00
35,802,2,Atlas Corp - Platform Deal,Prospecting,44260,2024-08-01,2023-12-24,Outbound - AE,Pipeline,False,False,,,43,Technical review,New Business,2023-12-24T00:00:00
36,468,4,Optima Networks - Platform Deal,Prospecting,21765,2022-03-26,2021-11-14,Outbound - SDR,Pipeline,False,False,CompetitorB,,42,Executive alignment,New Business,2021-11-14T00:00:00
37,586,16,Catalyst Services - New Business,Prospecting,127671,2025-05-21,2024-09-09,Product-Led,Pipeline,False,False,CompetitorE,,10,Contract signing,New Business,2024-09-09T00:00:00
38,500,9,Catalyst Holdings - Initial License,Closed Lost,27140,2024-12-24,2024-06-09,Webinar,Omitted,False,True,CompetitorB,Competitor,39,,New Business,2024-06-09T00:00:00
39,758,6,Zenith Group - Initial License,Qualification,19244,2022-10-19,2022-09-01,Outbound - SDR,Best Case,False,False,CompetitorD,,14,Legal review,New Business,2022-09-01T00:00:00
40,479,6,Summit Enterprises - Initial License,Qualification,45218,2024-07-12,2024-03-29,Product-Led,Best Case,False,False,CompetitorB,,48,Executive alignment,New Business,2024-03-29T00:00:00
41,653,11,Apex Partners - Initial License,Proposal,116878,2023-09-26,2023-02-02,Product-Led,Best Case,False,False,CompetitorA,,38,Executive alignment,New Business,2023-02-02T00:00:00
42,374,9,Optima Networks - Initial License,Discovery,106294,2023-10-26,2023-05-31,Inbound - Web,Pipeline,False,False,CompetitorE,,6,Send proposal,New Business,2023-05-31T00:00:00
43,101,14,Global Dynamics - Platform Deal,Prospecting,13102,2024-12-15,2024-11-07,Outbound - SDR,Pipeline,False,False,CompetitorA,,28,POC setup,New Business,2024-11-07T00:00:00
44,547,14,Optima Platforms - Platform Deal,Closed Lost,49088,2020-12-16,2020-11-19,Webinar,Omitted,False,True,,Budget Cut,60,,New Business,2020-11-19T00:00:00
45,202,7,Global Digital - New Business,Prospecting,165176,2024-09-13,2024-04-23,Outbound - AE,Pipeline,False,False,CompetitorB,,39,Legal review,New Business,2024-04-23T00:00:00
46,125,3,Acme Corp - Platform Deal,Qualification,215862,2025-02-24,2024-07-18,Product-Led,Best Case,False,False,,,23,Reference call,New Business,2024-07-18T00:00:00
47,638,2,Vanguard Solutions - Platform Deal,Closed Lost,209708,2024-03-30,2024-03-09,Webinar,Omitted,False,True,,No Decision,29,,New Business,2024-03-09T00:00:00
48,219,6,Fusion Platforms - New Business,Qualification,113809,2022-06-15,2022-05-03,Inbound - Content,Best Case,False,False,CompetitorC,,33,POC setup,New Business,2022-05-03T00:00:00
49,488,1,Pinnacle Inc - New Business,Prospecting,13541,2024-09-05,2024-07-09,Inbound - Web,Pipeline,False,False,,,2,Contract signing,New Business,2024-07-09T00:00:00
50,111,1,Nova Holdings - Initial License,Proposal,248862,2025-03-18,2024-10-03,Outbound - SDR,Best Case,False,False,CompetitorC,,20,Technical review,New Business,2024-10-03T00:00:00
1,367,13,Summit Enterprises - Platform Deal,Negotiation,49858,2024-05-26,2024-01-20,Partner Referral,Commit,False,False,,,29,Executive alignment,New Business,2024-01-20T00:00:00
52,802,9,Atlas Corp - Platform Deal,Qualification,40999,2024-05-20,2024-04-03,Event,Best Case,False,False,CompetitorC,,56,Executive alignment,New Business,2024-04-03T00:00:00
53,342,6,Optima Dynamics - Initial License,Proposal,12919,2023-01-05,2022-10-12,Event,Best Case,False,False,,,47,,New Business,2022-10-12T00:00:00
54,501,4,Acme Digital - New Business,Discovery,8569,2021-12-22,2021-06-09,Product-Led,Pipeline,False,False,,,21,Technical review,New Business,2021-06-09T00:00:00
55,238,14,Velocity Holdings - New Business,Proposal,32381,2025-04-12,2024-10-05,Inbound - Web,Best Case,False,False,Open Source Alternative,,17,Send proposal,New Business,2024-10-05T00:00:00
56,34,6,Nova Networks - Initial License,Qualification,170175,2024-08-23,2024-05-19,Product-Led,Best Case,False,False,CompetitorD,,20,,New Business,2024-05-19T00:00:00
57,565,8,Horizon Holdings - Initial License,Prospecting,12183,2024-11-05,2024-09-23,Partner Referral,Pipeline,False,False,CompetitorE,,31,Legal review,New Business,2024-09-23T00:00:00
58,216,8,Optima Labs - New Business,Discovery,,2023-07-14,2023-05-13,Event,Pipeline,False,False,CompetitorC,,44,Technical review,New Business,2023-05-13T00:00:00
59,52,1,Vertex Analytics - Initial License,Discovery,21921,2025-06-26,2024-11-09,Partner Referral,Pipeline,False,False,,,12,Legal review,New Business,2024-11-09T00:00:00
60,211,10,Synergy Services - New Business,Closed Lost,44160,2024-11-14,2024-09-22,Product-Led,Omitted,False,True,CompetitorA,No Decision,32,,New Business,2024-09-22T00:00:00
8,431,12,Elevate Labs - Initial License,Closed Lost,154969,2024-12-31,2024-10-15,Partner Referral,Omitted,False,True,CompetitorD,Feature Gap,34,,New Business,2024-10-15T00:00:00
62,371,8,Quantum Inc - Platform Deal,Prospecting,104581,2024-12-17,2024-10-17,Inbound - Web,Pipeline,False,False,Open Source Alternative,,22,,New Business,2024-10-17T00:00:00
63,479,4,Summit Enterprises - Platform Deal,Proposal,23268,2024-05-19,2023-12-11,Product-Led,Best Case,False,False,CompetitorE,,23,,New Business,2023-12-11T00:00:00
64,255,7,Nexus Technologies - Platform Deal,Qualification,365642,2021-04-05,2020-11-22,Product-Led,Best Case,False,False,CompetitorB,,30,POC setup,New Business,2020-11-22T00:00:00
65,456,2,Horizon Labs - Initial License,Proposal,27810,2024-06-30,2024-02-27,Outbound - AE,Best Case,False,False,CompetitorC,,22,Schedule demo,New Business,2024-02-27T00:00:00
66,944,16,Acme Networks - Initial License,Discovery,52273,2024-12-18,2024-09-10,Outbound - AE,Pipeline,False,False,CompetitorC,,11,Contract signing,New Business,2024-09-10T00:00:00
67,696,4,Vanguard Group - Initial License,Proposal,396498,2024-02-02,2023-10-23,Partner Referral,Best Case,False,False,,,23,Executive alignment,New Business,2023-10-23T00:00:00
68,111,2,Nova Holdings - New Business,Prospecting,214956,2025-03-15,2024-10-23,Inbound - Web,Pipeline,False,False,CompetitorC,,7,Executive alignment,New Business,2024-10-23T00:00:00
2,170,2,Nova Analytics - Initial License,Closed Lost,989311,2024-05-31,2024-03-18,Event,Omitted,False,True,CompetitorD,Competitor,29,,New Business,2024-03-18T00:00:00
70,307,16,Summit Software - Initial License,Prospecting,31489,2025-06-08,2024-12-06,Partner Referral,Pipeline,False,False,CompetitorA,,51,POC setup,New Business,2024-12-06T00:00:00
71,159,7,Horizon Analytics - Platform Deal,Negotiation,33794,2024-01-10,2023-04-19,Inbound - Content,Commit,False,False,CompetitorC,,55,Contract signing,New Business,2023-04-19T00:00:00
72,854,10,Pinnacle Systems - Platform Deal,Closed Lost,44434,2021-07-15,2021-02-04,Inbound - Web,Omitted,False,True,,Feature Gap,19,,New Business,2021-02-04T00:00:00
73,780,13,Fusion Dynamics - Platform Deal,Closed Lost,923986,2024-12-31,2024-09-06,Outbound - AE,Omitted,False,True,CompetitorA,Timing,43,,New Business,2024-09-06T00:00:00
74,279,12,Velocity Holdings - Platform Deal,Proposal,34802,2024-10-24,2024-09-01,Outbound - SDR,Best Case,False,False,CompetitorA,,32,Executive alignment,New Business,2024-09-01T00:00:00
75,933,6,Nova Technologies - Initial License,Closed Lost,58982,2024-10-25,2024-08-10,Inbound - Content,Omitted,False,True,,Lost to Status Quo,7,,New Business,2024-08-10T00:00:00
76,615,9,Pacific Inc - Platform Deal,Prospecting,24098,2025-05-01,2024-12-07,Outbound - SDR,Pipeline,False,False,CompetitorD,,16,POC setup,New Business,2024-12-07T00:00:00
77,714,13,Zenith Technologies - Initial License,Negotiation,33965,2025-01-08,2024-05-12,Webinar,Commit,False,False,,,44,,New Business,2024-05-12T00:00:00
78,786,16,Catalyst Corp - New Business,Closed Won,172276,2024-06-29,2024-04-24,Webinar,Closed,True,True,CompetitorE,,21,,New Business,2024-04-24T00:00:00
79,516,9,Horizon Analytics - New Business,Prospecting,48924,2024-10-11,2024-07-01,Inbound - Web,Pipeline,False,False,,,69,Schedule demo,New Business,2024-07-01T00:00:00
80,57,14,Acme Technologies - Initial License,Closed Lost,605810,2021-09-24,2021-05-06,Outbound - SDR,Omitted,False,True,,No Decision,64,,New Business,2021-05-06T00:00:00
9,636,11,Apex Technologies - Initial License,Closed Lost,1001726,2024-09-08,2024-05-18,Event,Omitted,False,True,CompetitorB,Champion Left,23,,New Business,2024-05-18T00:00:00
82,761,16,Zenith Enterprises - Platform Deal,Discovery,13853,2025-05-15,2024-12-23,Inbound - Content,Pipeline,False,False,CompetitorA,,52,Executive alignment,New Business,2024-12-23T00:00:00
83,293,9,Velocity Systems - Platform Deal,Negotiation,154399,2025-01-26,2024-12-01,Inbound - Content,Commit,False,False,CompetitorA,,64,Reference call,New Business,2024-12-01T00:00:00
84,599,6,Nexus Solutions - Platform Deal,Discovery,945042,2022-05-15,2021-11-13,Partner Referral,Pipeline,False,False,CompetitorE,,17,Legal review,New Business,2021-11-13T00:00:00
85,414,5,Quantum Systems - Initial License,Qualification,22357,2022-02-03,2022-01-01,Outbound - SDR,Best Case,False,False,CompetitorE,,31,Executive alignment,New Business,2022-01-01T00:00:00
86,985,15,Vanguard Dynamics - Initial License,Proposal,56016,2025-02-02,2024-12-05,Inbound - Web,Best Case,False,False,CompetitorD,,25,Executive alignment,New Business,2024-12-05T00:00:00
87,506,10,Catalyst Holdings - Platform Deal,Proposal,18633,2021-08-09,2021-07-09,Inbound - Content,Best Case,False,False,CompetitorC,,57,Executive alignment,New Business,2021-07-09T00:00:00
88,59,15,Atlas Labs - Platform Deal,Qualification,22770,2024-09-10,2024-05-08,Outbound - AE,Best Case,False,False,CompetitorC,,25,Schedule demo,New Business,2024-05-08T00:00:00
89,628,14,Nova Analytics - Platform Deal,Proposal,,2022-12-01,2022-10-18,Event,Best Case,False,False,CompetitorB,,5,Contract signing,New Business,2022-10-18T00:00:00
90,599,14,Nexus Solutions - New Business,Closed Lost,750901,2022-12-26,2022-12-08,Event,Omitted,False,True,,Champion Left,58,,New Business,2022-12-08T00:00:00
91,708,16,Atlas Holdings - Initial License,Proposal,74971,2025-09-14,2024-12-28,Inbound - Content,Best Case,False,False,,,50,Technical review,New Business,2024-12-28T00:00:00
92,637,14,Nova Solutions - Initial License,Discovery,156399,2022-10-06,2022-01-26,Webinar,Pipeline,False,False,CompetitorA,,38,Executive alignment,New Business,2022-01-26T00:00:00
93,325,9,Optima Services - Platform Deal,Proposal,8065,2025-05-29,2024-12-03,Product-Led,Best Case,False,False,CompetitorB,,13,Send proposal,New Business,2024-12-03T00:00:00
94,638,15,Vanguard Solutions - Initial License,Closed Lost,107832,2024-10-20,2024-08-21,Outbound - SDR,Omitted,False,True,CompetitorB,Budget Cut,47,,New Business,2024-08-21T00:00:00
95,224,1,Velocity Inc - New Business,Closed Lost,26338,2024-12-31,2024-10-17,Outbound - SDR,Omitted,False,True,CompetitorC,Budget Cut,39,,New Business,2024-10-17T00:00:00
96,810,1,Velocity Analytics - Platform Deal,Closed Lost,70923,2023-04-16,2023-03-21,Event,Omitted,False,True,,No Decision,24,,New Business,2023-03-21T00:00:00
97,980,13,Summit Technologies - Platform Deal,Discovery,13450,2023-04-19,2023-03-03,Partner Referral,Pipeline,False,False,CompetitorA,,60,Send proposal,New Business,2023-03-03T00:00:00
98,590,2,Nova Services - New Business,Proposal,12538,2025-05-22,2024-12-13,Inbound - Web,Best Case,False,False,CompetitorC,,33,Send proposal,New Business,2024-12-13T00:00:00
99,922,9,Acme Corp - Platform Deal,Closed Won,159125,2024-06-06,2024-02-04,Partner Referral,Closed,True,True,CompetitorA,,7,,New Business,2024-02-04T00:00:00
100,284,3,Global Dynamics - New Business,Closed Lost,13330,2024-12-26,2024-09-15,Inbound - Content,Omitted,False,True,CompetitorA,Feature Gap,37,,New Business,2024-09-15T00:00:00
101,396,12,Synergy Inc - Platform Deal,Discovery,31404,2021-02-04,2020-09-18,Event,Pipeline,False,False,CompetitorA,,10,Executive alignment,New Business,2020-09-18T00:00:00
102,273,10,Pacific Holdings - New Business,Discovery,34916,2024-11-23,2024-05-01,Outbound - AE,Pipeline,False,False,,,18,Technical review,New Business,2024-05-01T00:00:00
103,20,5,Optima Digital - New Business,Discovery,131446,2024-01-21,2023-12-04,Outbound - AE,Pipeline,False,False,CompetitorB,,39,Legal review,New Business,2023-12-04T00:00:00
104,725,4,Vanguard Enterprises - Initial License,Closed Lost,42063,2024-12-31,2024-11-19,Product-Led,Omitted,False,True,CompetitorA,Price,38,,New Business,2024-11-19T00:00:00
105,461,1,Global Networks - Initial License,Qualification,773427,2024-04-21,2023-08-19,Product-Led,Best Case,False,False,CompetitorD,,8,Executive alignment,New Business,2023-08-19T00:00:00
106,43,11,Summit Inc - New Business,Prospecting,18631,2022-12-08,2022-06-02,Inbound - Content,Pipeline,False,False,CompetitorE,,50,Send proposal,New Business,2022-06-02T00:00:00
107,530,14,Horizon Technologies - Initial License,Prospecting,15083,2024-08-11,2023-11-21,Product-Led,Pipeline,False,False,CompetitorA,,6,,New Business,2023-11-21T00:00:00
108,874,7,Atlas Group - Platform Deal,Negotiation,25347,2025-06-21,2024-09-28,Outbound - AE,Commit,False,False,,,35,,New Business,2024-09-28T00:00:00
109,460,7,Velocity Networks - Initial License,Proposal,89202,2025-04-10,2024-11-08,Inbound - Web,Best Case,False,False,Open Source Alternative,,54,Send proposal,New Business,2024-11-08T00:00:00
110,244,3,Horizon Software - New Business,Qualification,163478,2022-11-02,2022-04-20,Product-Led,Best Case,False,False,,,2,Contract signing,New Business,2022-04-20T00:00:00
111,522,8,Nexus Platforms - Initial License,Closed Lost,78829,2024-12-31,2024-10-05,Inbound - Content,Omitted,False,True,CompetitorB,No Decision,3,,New Business,2024-10-05T00:00:00
112,670,15,Quantum Dynamics - Platform Deal,Qualification,8383,2025-01-08,2024-10-24,Webinar,Best Case,False,False,CompetitorB,,23,Technical review,New Business,2024-10-24T00:00:00
113,49,12,Global Holdings - Initial License,Prospecting,98820,2025-02-28,2024-11-18,Outbound - AE,Pipeline,False,False,,,53,Legal review,New Business,2024-11-18T00:00:00
114,641,8,Velocity Services - Initial License,Proposal,20565,2022-03-13,2022-02-10,Outbound - SDR,Best Case,False,False,CompetitorA,,8,Reference call,New Business,2022-02-10T00:00:00
115,946,13,Vanguard Group - Platform Deal,Discovery,112644,2024-12-17,2024-05-14,Product-Led,Pipeline,False,False,,,55,,New Business,2024-05-14T00:00:00
116,844,1,Nova Systems - New Business,Discovery,242147,2024-03-05,2023-11-22,Partner Referral,Pipeline,False,False,,,22,POC setup,New Business,2023-11-22T00:00:00
117,474,6,Elevate Partners - New Business,Closed Lost,399167,2021-01-20,2020-11-18,Event,Omitted,False,True,CompetitorA,Budget Cut,49,,New Business,2020-11-18T00:00:00
118,444,9,Catalyst Analytics - New Business,Closed Won,22110,2024-03-26,2023-12-12,Inbound - Web,Closed,True,True,,,41,,New Business,2023-12-12T00:00:00
119,902,14,Fusion Systems - Platform Deal,Closed Lost,27020,2024-06-28,2024-04-08,Inbound - Web,Omitted,False,True,CompetitorD,Budget Cut,31,,New Business,2024-04-08T00:00:00
120,923,15,Apex Platforms - Platform Deal,Qualification,5878,2024-04-01,2023-11-01,Product-Led,Best Case,False,False,CompetitorE,,53,Technical review,New Business,2023-11-01T00:00:00
121,739,1,Velocity Corp - Platform Deal,Closed Won,27577,2024-12-31,2024-10-29,Webinar,Closed,True,True,,,19,,New Business,2024-10-29T00:00:00
122,52,14,Vertex Analytics - Initial License,Proposal,151354,2025-03-06,2024-10-22,Partner Referral,Best Case,False,False,,,54,Executive alignment,New Business,2024-10-22T00:00:00
123,209,15,Vertex Analytics - Platform Deal,Qualification,7744,2025-05-09,2024-09-13,Webinar,Best Case,False,False,,,8,Reference call,New Business,2024-09-13T00:00:00
124,227,3,Vanguard Technologies - New Business,Closed Lost,164970,2023-11-21,2023-10-12,Partner Referral,Omitted,False,True,CompetitorB,Lost to Status Quo,45,,New Business,2023-10-12T00:00:00
125,484,11,Fusion Services - Platform Deal,Closed Lost,,2023-06-18,2023-06-02,Outbound - AE,Omitted,False,True,CompetitorC,Lost to Status Quo,58,,New Business,2023-06-02T00:00:00
126,109,15,Zenith Networks - Platform Deal,Prospecting,63243,2025-02-19,2024-09-02,Webinar,Pipeline,False,False,CompetitorC,,21,Legal review,New Business,2024-09-02T00:00:00
127,729,10,Elevate Corp - Initial License,Prospecting,25206,2024-11-28,2024-04-25,Product-Led,Pipeline,False,False,,,46,POC setup,New Business,2024-04-25T00:00:00
128,28,3,Zenith Solutions - New Business,Negotiation,80840,2025-05-20,2024-12-05,Product-Led,Commit,False,False,CompetitorA,,30,,New Business,2024-12-05T00:00:00
129,496,7,Global Group - New Business,Negotiation,178638,2023-05-10,2023-04-09,Webinar,Commit,False,False,CompetitorB,,36,Reference call,New Business,2023-04-09T00:00:00
54,658,12,Nexus Inc - Platform Deal,Negotiation,103189,2024-03-18,2023-10-12,Partner Referral,Commit,False,False,,,63,Reference call,New Business,2023-10-12T00:00:00
131,301,3,Atlas Partners - Initial License,Qualification,28174,2024-12-02,2024-06-21,Inbound - Web,Best Case,False,False,CompetitorA,,44,Technical review,New Business,2024-06-21T00:00:00
132,1000,16,Catalyst Inc - Initial License,Closed Lost,54541,2024-12-31,2024-10-11,,Omitted,False,True,CompetitorB,Price,21,,New Business,2024-10-11T00:00:00
133,340,4,Synergy Partners - Initial License,Qualification,25483,2024-06-13,2024-04-25,Partner Referral,Best Case,False,False,,,42,Schedule demo,New Business,2024-04-25T00:00:00
134,957,7,Quantum Platforms - New Business,Proposal,107441,2024-03-28,2024-02-25,Event,Best Case,False,False,,,37,Reference call,New Business,2024-02-25T00:00:00
135,963,8,Quantum Systems - New Business,Proposal,51410,2025-07-09,2024-11-06,,Best Case,False,False,,,11,Executive alignment,New Business,2024-11-06T00:00:00
136,438,8,Nova Corp - Initial License,Discovery,288546,2023-08-11,2023-02-18,Webinar,Pipeline,False,False,,,58,Send proposal,New Business,2023-02-18T00:00:00
137,247,9,Acme Enterprises - Initial License,Proposal,31227,2024-07-27,2024-05-27,Outbound - SDR,Best Case,False,False,CompetitorC,,22,Technical review,New Business,2024-05-27T00:00:00
138,639,16,Vertex Systems - New Business,Closed Won,973247,2024-06-01,2024-04-12,Event,Closed,True,True,,,54,,New Business,2024-04-12T00:00:00
139,471,8,Elevate Analytics - New Business,Closed Won,45005,2024-10-08,2024-09-13,Product-Led,Closed,True,True,,,15,,New Business,2024-09-13T00:00:00
140,941,10,Vertex Analytics - Platform Deal,Closed Lost,804920,2024-04-11,2023-11-02,Outbound - AE,Omitted,False,True,CompetitorD,Lost to Status Quo,62,,New Business,2023-11-02T00:00:00
141,894,5,Quantum Software - New Business,Closed Won,5114,2023-12-18,2023-09-07,Inbound - Web,Closed,True,True,,,14,,New Business,2023-09-07T00:00:00
142,282,6,Pinnacle Software - Initial License,Discovery,9654,2022-07-09,2022-02-08,Outbound - AE,Pipeline,False,False,CompetitorE,,40,Schedule demo,New Business,2022-02-08T00:00:00
143,214,11,Summit Digital - New Business,Closed Lost,16438,2024-09-23,2024-07-03,Event,Omitted,False,True,CompetitorC,Competitor,57,,New Business,2024-07-03T00:00:00
144,545,14,Nova Analytics - Platform Deal,Closed Lost,45786,2023-09-18,2023-07-15,Inbound - Web,Omitted,False,True,CompetitorB,Lost to Status Quo,38,,New Business,2023-07-15T00:00:00
145,550,3,Pacific Solutions - Platform Deal,Proposal,408926,2025-04-29,2024-10-03,Partner Referral,Best Case,False,False,CompetitorD,,27,Legal review,New Business,2024-10-03T00:00:00
146,94,2,Horizon Solutions - New Business,Closed Won,118930,2024-09-12,2024-05-06,Webinar,Closed,True,True,,,22,,New Business,2024-05-06T00:00:00
147,852,11,Synergy Group - Initial License,Discovery,148348,2024-04-01,2024-01-11,Event,Pipeline,False,False,Open Source Alternative,,24,Reference call,New Business,2024-01-11T00:00:00
148,355,1,Pacific Digital - New Business,Closed Won,33210,2024-12-31,2024-12-29,Outbound - SDR,Closed,True,True,Open Source Alternative,,11,,New Business,2024-12-29T00:00:00
149,418,16,Zenith Networks - New Business,Closed Won,44188,2024-12-31,2024-09-11,Partner Referral,Closed,True,True,CompetitorE,,42,,New Business,2024-09-11T00:00:00
150,311,5,Quantum Platforms - Platform Deal,Negotiation,49827,2023-09-20,2023-04-10,Outbound - SDR,Commit,False,False,,,40,Technical review,New Business,2023-04-10T00:00:00
151,84,8,Nexus Group - Platform Deal,Proposal,,2025-06-22,2024-10-21,Inbound - Web,Best Case,False,False,,,4,Schedule demo,New Business,2024-10-21T00:00:00
152,348,14,Quantum Inc - Platform Deal,Closed Lost,30369,2024-12-31,2024-09-24,Product-Led,Omitted,False,True,,Competitor,67,,New Business,2024-09-24T00:00:00
153,704,7,Vanguard Technologies - Platform Deal,Proposal,,2023-06-23,2023-01-20,Partner Referral,Best Case,False,False,CompetitorD,,4,Send proposal,New Business,2023-01-20T00:00:00
154,47,3,Atlas Networks - Initial License,Qualification,157987,2022-08-16,2022-05-09,Event,Best Case,False,False,CompetitorE,,4,,New Business,2022-05-09T00:00:00
155,201,15,Vertex Platforms - New Business,Discovery,77107,2025-04-14,2024-10-05,Inbound - Content,Pipeline,False,False,CompetitorA,,63,Executive alignment,New Business,2024-10-05T00:00:00
156,147,7,Apex Software - Platform Deal,Qualification,582696,2025-03-19,2024-09-18,Inbound - Content,Best Case,False,False,CompetitorD,,11,Schedule demo,New Business,2024-09-18T00:00:00
157,391,3,Atlas Inc - Platform Deal,Negotiation,199070,2024-10-09,2024-02-05,Product-Led,Commit,False,False,,,14,Reference call,New Business,2024-02-05T00:00:00
