campaign_id,name,channel,type,status,cost,start_date,end_date,created_at
79,Brand Awareness Campaign - Organic Search,Organic Search,Brand Awareness,Completed,2607,2023-10-02,2023-10-19,2023-09-26T00:00:00
80,FY2023 Product Launch - Direct Mail,Direct Mail,Product Launch,Active,49953,2023-03-11,2023-03-29,2023-03-05T00:00:00
81,FY2020 Brand Awareness - Content Syndication,Content Syndication,Brand Awareness,Draft,13420,2020-03-31,2020-04-24,2020-03-25T00:00:00
82,Direct Mail - Thought Leadership - Q4 2024,Direct Mail,Thought Leadership,Active,21681,2024-10-19,2025-02-05,2024-10-15T00:00:00
83,Event Promotion Campaign - Organic Search,Organic Search,Event Promotion,Completed,4018,2024-07-08,2024-09-22,2024-07-06T00:00:00
84,ABM Campaign - Content Syndication,Content Syndication,ABM,Completed,31374,2021-06-20,2021-08-27,2021-06-06T00:00:00
85,Event - Product Launch - Q3 2020,Event,Product Launch,Completed,145190,2020-08-20,2020-10-26,2020-08-14T00:00:00
86,FY2021 Brand Awareness - Event,Event,Brand Awareness,Draft,64655,2021-09-08,2021-10-17,2021-09-07T00:00:00
87,Product Launch Campaign - Partner,Partner,Product Launch,Completed,9816,2021-01-01,2021-04-26,2020-12-20T00:00:00
88,Webinar - Demand Gen - Q1 2024,Webinar,Demand Gen,Draft,-32595,2024-03-01,2024-04-06,2024-02-29T00:00:00
89,Organic Search - Thought Leadership - Q2 2022,Organic Search,Thought Leadership,Active,1838,2022-04-12,2022-06-14,2022-03-29T00:00:00
90,FY2020 Brand Awareness - Event,Event,Brand Awareness,Completed,47596,2020-10-05,2020-11-05,2020-09-27T00:00:00
91,FY2024 ABM - Organic Search,Organic Search,ABM,Completed,2108,2024-03-25,2024-05-01,2024-03-12T00:00:00
92,Product Launch Campaign - Organic Search,Organic Search,Product Launch,Completed,2831,2021-07-12,2021-10-20,2021-07-10T00:00:00
93,Nurture Campaign - Organic Search,Organic Search,Nurture,Active,5643,2021-02-21,2021-05-08,2021-02-17T00:00:00
94,Event - Demand Gen - Q3 2020,Event,Demand Gen,Completed,209601,2020-07-16,2020-11-05,2020-07-02T00:00:00
95,Product Launch Campaign - Email,Email,Product Launch,Completed,6458,2020-01-20,2020-02-03,2020-01-08T00:00:00
96,Demand Gen Campaign - Paid Social,Paid Social,Demand Gen,Paused,9181,2021-10-27,2022-01-26,2021-10-17T00:00:00
97,Product Launch Campaign - Paid Search,Paid Search,Product Launch,Draft,,2021-07-30,2021-09-25,2021-07-26T00:00:00
98,Event - Event Promotion - Q2 2023,Event,Event Promotion,Completed,53863,2023-06-16,2023-09-26,2023-06-09T00:00:00
99,FY2022 Brand Awareness - Paid Search,Paid Search,Brand Awareness,Completed,6762,2022-08-21,2022-12-16,2022-08-12T00:00:00
100,FY2020 Thought Leadership - Email,Email,Thought Leadership,Completed,3339,2020-12-12,2021-02-02,2020-11-30T00:00:00
101,FY2021 Brand Awareness - Partner,Partner,Brand Awareness,Completed,11033,2021-03-07,2021-06-20,2021-02-24T00:00:00
102,Thought Leadership Campaign - Referral,Referral,Thought Leadership,Active,3743,2023-02-24,2023-05-13,2023-02-13T00:00:00
103,Referral - Thought Leadership - Q2 2023,Referral,Thought Leadership,Completed,3184,2023-04-08,2023-05-10,2023-04-01T00:00:00
104,Brand Awareness Campaign - Paid Search,Paid Search,Brand Awareness,Completed,69992,2021-02-13,2021-06-13,2021-02-08T00:00:00
105,Content Syndication - ABM - Q3 2021,Content Syndication,ABM,Draft,31333,2021-07-05,2021-08-15,2021-06-28T00:00:00
106,Product Launch Campaign - Webinar,Webinar,Product Launch,Completed,,2023-10-09,2024-01-18,2023-10-02T00:00:00
107,Organic Search - Demand Gen - Q3 2021,Organic Search,Demand Gen,Completed,1871,2021-09-16,2021-12-17,2021-09-11T00:00:00
108,Event - Demand Gen - Q4 2023,Event,Demand Gen,Completed,60950,2023-11-03,2023-12-17,2023-10-22T00:00:00
109,Demand Gen Campaign - Referral,Referral,Demand Gen,Completed,915,2020-01-21,2020-04-14,2020-01-20T00:00:00
110,FY2022 Brand Awareness - Content Syndication,Content Syndication,Brand Awareness,Draft,28417,2022-12-16,2023-02-13,2022-12-15T00:00:00
111,Event Promotion Campaign - Webinar,Webinar,Event Promotion,Completed,32653,2024-09-30,2024-12-03,2024-09-28T00:00:00
112,Direct Mail - Demand Gen - Q3 2020,Direct Mail,Demand Gen,Active,26817,2020-09-06,2020-09-15,2020-09-01T00:00:00
113,Email - Product Launch - Q4 2020,Email,Product Launch,Active,4842,2020-11-02,2021-01-18,2020-10-30T00:00:00
114,FY2023 Nurture - Referral,Referral,Nurture,Completed,4984,2023-10-11,2024-01-09,2023-10-01T00:00:00
115,Direct Mail - Demand Gen - Q2 2020,Direct Mail,Demand Gen,Completed,-8442,2020-04-14,2020-07-20,2020-04-12T00:00:00
116,Content Syndication - Product Launch - Q1 2024,Content Syndication,Product Launch,Active,-14782,2024-01-22,2024-02-05,2024-01-14T00:00:00
117,FY2020 Brand Awareness - Direct Mail,Direct Mail,Brand Awareness,Draft,19941,2020-09-24,2021-01-22,2020-09-11T00:00:00
118,FY2023 Product Launch - Organic Search,Organic Search,Product Launch,Active,5171,2023-09-22,2023-12-30,2023-09-08T00:00:00
119,ABM Campaign - Paid Search,Paid Search,ABM,Completed,49174,2023-06-24,2023-09-01,2023-06-15T00:00:00
120,Webinar - Product Launch - Q1 2021,Webinar,Product Launch,Completed,6847,2021-03-05,2021-05-25,2021-02-28T00:00:00
121,FY2020 Demand Gen - Organic Search,Organic Search,Demand Gen,Completed,1127,2020-05-08,2020-07-07,2020-05-06T00:00:00
122,FY2023 ABM - Email,Email,ABM,Completed,3803,2023-08-23,2023-11-29,2023-08-15T00:00:00
123,Paid Social - Event Promotion - Q1 2020,Paid Social,Event Promotion,Completed,70526,2020-03-31,2020-05-31,2020-03-19T00:00:00
124,FY2022 Brand Awareness - Content Syndication,Content Syndication,Brand Awareness,Paused,54816,2022-01-24,2022-03-06,2022-01-18T00:00:00
125,FY2024 Brand Awareness - Event,Event,Brand Awareness,Completed,34946,2024-12-26,2025-03-15,2024-12-21T00:00:00
126,FY2021 Event Promotion - Paid Search,Paid Search,Event Promotion,Active,53033,2021-06-07,2021-07-17,2021-06-04T00:00:00
127,FY2020 Event Promotion - Paid Search,Paid Search,Event Promotion,Active,95917,2020-02-01,2020-04-14,2020-01-28T00:00:00
128,Content Syndication - Thought Leadership - Q3 2020,Content Syndication,Thought Leadership,Draft,58026,2020-09-25,2020-10-29,2020-09-16T00:00:00
129,FY2022 Event Promotion - Event,Event,Event Promotion,Completed,24581,2022-11-25,2023-02-27,2022-11-20T00:00:00
130,Partner - Product Launch - Q2 2021,Partner,Product Launch,Completed,18923,2021-04-22,2021-07-13,2021-04-11T00:00:00
131,Event Promotion Campaign - Organic Search,Organic Search,Event Promotion,Draft,2072,2022-07-16,2022-08-29,2022-07-11T00:00:00
132,FY2022 Nurture - Event,Event,Nurture,Draft,86771,2022-09-20,2022-12-08,2022-09-14T00:00:00
133,FY2020 ABM - Partner,Partner,ABM,Completed,4931,2020-02-25,2020-04-29,2020-02-21T00:00:00
134,Demand Gen Campaign - Referral,Referral,Demand Gen,Completed,4140,2020-11-26,2021-02-26,2020-11-12T00:00:00
135,FY2024 Nurture - Webinar,Webinar,Nurture,Completed,5203,2024-09-19,2024-12-16,2024-09-15T00:00:00
136,FY2020 Event Promotion - Organic Search,Organic Search,Event Promotion,Draft,3085,2020-04-27,2020-06-17,2020-04-26T00:00:00
137,Email - Demand Gen - Q2 2023,Email,Demand Gen,Active,3090,2023-06-30,2023-07-07,2023-06-16T00:00:00
138,FY2024 Thought Leadership - Referral,Referral,Thought Leadership,Completed,9230,2024-04-07,2024-05-29,2024-03-29T00:00:00
139,Event - Demand Gen - Q4 2020,Event,Demand Gen,Completed,97648,2020-10-15,2020-11-02,2020-10-14T00:00:00
140,Referral - Brand Awareness - Q2 2020,Referral,Brand Awareness,Completed,,2020-05-01,2020-06-23,2020-04-29T00:00:00
141,Organic Search - Nurture - Q4 2022,Organic Search,Nurture,Paused,728,2022-11-24,2023-01-03,2022-11-20T00:00:00
142,Email - Thought Leadership - Q2 2022,Email,Thought Leadership,Active,5073,2022-04-05,2022-07-13,2022-03-30T00:00:00
143,Brand Awareness Campaign - Webinar,Webinar,Brand Awareness,Active,21112,2020-05-04,2020-05-15,2020-05-03T00:00:00
144,FY2022 Event Promotion - Email,Email,Event Promotion,Draft,5360,2022-08-02,2022-11-30,2022-07-27T00:00:00
145,Webinar - Brand Awareness - Q2 2020,Webinar,Brand Awareness,Active,24191,2020-05-07,2020-06-30,2020-04-24T00:00:00
146,ABM Campaign - Organic Search,Organic Search,ABM,Active,1611,2023-11-19,2024-01-27,2023-11-09T00:00:00
147,FY2022 Demand Gen - Paid Search,Paid Search,Demand Gen,Active,77915,2022-06-04,2022-06-29,2022-05-30T00:00:00
148,FY2020 Event Promotion - Webinar,Webinar,Event Promotion,Completed,10351,2020-05-07,2020-07-09,2020-04-24T00:00:00
149,FY2024 Product Launch - Paid Social,Paid Social,Product Launch,Active,30625,2024-05-08,2024-06-25,2024-05-04T00:00:00
150,Direct Mail - ABM - Q4 2020,Direct Mail,ABM,Completed,12931,2020-12-28,2021-02-25,2020-12-25T00:00:00
151,Webinar - ABM - Q1 2023,Webinar,ABM,Paused,3703,2023-01-13,2023-02-24,2023-01-02T00:00:00
152,Thought Leadership Campaign - Partner,Partner,Thought Leadership,Draft,3287,2020-02-11,2020-05-30,2020-02-02T00:00:00
153,ABM Campaign - Paid Search,Paid Search,ABM,Completed,91060,2021-09-11,2021-10-08,2021-09-01T00:00:00
154,Event - Thought Leadership - Q1 2024,Event,Thought Leadership,Completed,48215,2024-03-14,2024-06-30,2024-03-11T00:00:00
155,Product Launch Campaign - Email,Email,Product Launch,Active,2984,2021-10-12,2022-01-02,2021-10-11T00:00:00
156,Event - Thought Leadership - Q1 2024,Event,Thought Leadership,Active,234475,2024-02-15,2024-04-25,2024-02-10T00:00:00
157,Nurture Campaign - Webinar,Webinar,Nurture,Active,9261,2020-05-27,2020-08-30,2020-05-15T00:00:00
158,ABM Campaign - Referral,Referral,ABM,Completed,4394,2024-11-21,2025-01-20,2024-11-19T00:00:00
159,Event Promotion Campaign - Webinar,Webinar,Event Promotion,Completed,6224,2021-04-17,2021-07-27,2021-04-15T00:00:00
160,Email - Brand Awareness - Q1 2021,Email,Brand Awareness,Paused,3461,2021-01-01,2021-01-24,2020-12-20T00:00:00
161,FY2023 Brand Awareness - Event,Event,Brand Awareness,Active,12707,2023-03-08,2023-03-24,2023-02-23T00:00:00
162,Event - Nurture - Q1 2024,Event,Nurture,Completed,236986,2024-03-02,2024-03-25,2024-02-18T00:00:00
163,Partner - Brand Awareness - Q4 2021,Partner,Brand Awareness,Completed,9147,2021-11-04,2022-01-08,2021-10-31T00:00:00
164,FY2022 Product Launch - Organic Search,Organic Search,Product Launch,Active,1066,2022-01-18,2022-04-30,2022-01-07T00:00:00
165,Thought Leadership Campaign - Paid Social,Paid Social,Thought Leadership,Completed,56410,2021-01-30,2021-03-25,2021-01-26T00:00:00
166,ABM Campaign - Referral,Referral,ABM,Active,6013,2023-06-13,2023-08-02,2023-05-31T00:00:00
167,FY2020 Brand Awareness - Organic Search,Organic Search,Brand Awareness,Completed,906,2020-08-04,2020-11-26,2020-08-03T00:00:00
168,FY2020 ABM - Webinar,Webinar,ABM,Draft,1975,2020-12-20,2021-02-08,2020-12-07T00:00:00
169,Demand Gen Campaign - Referral,Referral,Demand Gen,Completed,7182,2024-03-31,2024-07-17,2024-03-20T00:00:00
170,Product Launch Campaign - Content Syndication,Content Syndication,Product Launch,Completed,40238,2022-10-26,2023-02-16,2022-10-19T00:00:00
171,FY2024 Product Launch - Email,Email,Product Launch,Active,1316,2024-10-07,2024-11-06,2024-10-02T00:00:00
172,Webinar - Event Promotion - Q3 2020,Webinar,Event Promotion,Paused,28701,2020-09-18,2020-11-16,2020-09-13T00:00:00
173,FY2023 Product Launch - Direct Mail,Direct Mail,Product Launch,Draft,10267,2023-06-03,2023-07-20,2023-06-02T00:00:00
174,FY2020 Demand Gen - Paid Search,Paid Search,Demand Gen,Active,12879,2020-04-27,2020-05-08,2020-04-19T00:00:00
175,FY2020 Thought Leadership - Referral,Referral,Thought Leadership,Completed,1705,2020-04-18,2020-08-07,2020-04-15T00:00:00
176,Paid Search - Brand Awareness - Q3 2023,Paid Search,Brand Awareness,Paused,80933,2023-07-01,2023-08-09,2023-06-29T00:00:00
177,Event Promotion Campaign - Paid Search,Paid Search,Event Promotion,Draft,,2020-05-21,2020-07-17,2020-05-14T00:00:00
178,FY2021 Demand Gen - Paid Social,Paid Social,Demand Gen,Paused,46743,2021-04-17,2021-06-11,2021-04-11T00:00:00
179,FY2020 Nurture - Organic Search,Organic Search,Nurture,Completed,6088,2020-03-17,2020-05-17,2020-03-09T00:00:00
180,Product Launch Campaign - Event,Event,Product Launch,Completed,24990,2021-09-09,2021-10-07,2021-08-28T00:00:00
181,Demand Gen Campaign - Content Syndication,Content Syndication,Demand Gen,Active,15640,2021-12-07,2022-01-20,2021-12-02T00:00:00
182,Direct Mail - Nurture - Q4 2020,Direct Mail,Nurture,Completed,28932,2020-11-15,2021-03-13,2020-11-02T00:00:00
183,FY2020 Event Promotion - Content Syndication,Content Syndication,Event Promotion,Active,28208,2020-10-14,2021-02-07,2020-10-09T00:00:00
184,FY2021 Demand Gen - Webinar,Webinar,Demand Gen,Active,7698,2021-02-23,2021-04-10,2021-02-10T00:00:00
185,FY2023 Brand Awareness - Email,Email,Brand Awareness,Completed,9364,2023-05-30,2023-08-09,2023-05-24T00:00:00
186,Referral - Demand Gen - Q4 2024,Referral,Demand Gen,Active,2482,2024-10-14,2024-11-09,2024-10-08T00:00:00
187,FY2021 Event Promotion - Webinar,Webinar,Event Promotion,Completed,-5528,2021-09-11,2021-12-25,2021-08-29T00:00:00
188,Webinar - Thought Leadership - Q2 2024,Webinar,Thought Leadership,Active,3135,2024-05-11,2024-06-25,2024-05-04T00:00:00
189,Content Syndication - Brand Awareness - Q3 2024,Content Syndication,Brand Awareness,Active,8563,2024-09-14,2024-12-20,2024-09-02T00:00:00
190,Thought Leadership Campaign - Paid Search,Paid Search,Thought Leadership,Draft,76737,2023-02-12,2023-03-31,2023-02-06T00:00:00
191,Product Launch Campaign - Event,Event,Product Launch,Active,188741,2023-03-13,2023-04-24,2023-02-28T00:00:00
192,FY2024 Product Launch - Referral,Referral,Product Launch,Active,8413,2024-09-17,2024-10-06,2024-09-04T00:00:00
193,FY2020 Nurture - Partner,Partner,Nurture,Draft,,2020-10-31,2020-12-18,2020-10-26T00:00:00
194,Brand Awareness Campaign - Paid Social,Paid Social,Brand Awareness,Completed,55325,2023-07-17,2023-10-28,2023-07-05T00:00:00
195,Event Promotion Campaign - Paid Social,Paid Social,Event Promotion,Completed,44848,2024-11-05,2024-11-22,2024-10-26T00:00:00
196,FY2024 Event Promotion - Direct Mail,Direct Mail,Event Promotion,Paused,-38413,2024-04-03,2024-07-24,2024-03-26T00:00:00
197,ABM Campaign - Organic Search,Organic Search,ABM,Draft,1547,2020-11-14,2021-01-24,2020-11-01T00:00:00
198,Email - Product Launch - Q3 2022,Email,Product Launch,Completed,6988,2022-07-16,2022-09-25,2022-07-14T00:00:00
199,Email - Product Launch - Q4 2023,Email,Product Launch,Completed,-2085,2023-12-28,2024-04-12,2023-12-20T00:00:00
200,FY2023 Thought Leadership - Paid Search,Paid Search,Thought Leadership,Completed,,2023-06-22,2023-07-31,2023-06-18T00:00:00
