tracker_id,call_id,tracker_name,tracker_category,mention_count
51,29,Discount - Multi-Year Ask,Discount,1
52,29,Decision Timeline Confirmed,Buying Signal,5
53,30,Budget - Reallocating Funds,Budget,5
54,30,Competitor - CompetitorA,Competitor,5
55,31,Risk - Champion Leaving,Risk,6
56,31,Pricing - Enterprise Tier,Pricing,3
57,31,Procurement Process Started,Buying Signal,8
58,31,Objection - Need More Stakeholder Buy-in,Objection,3
59,33,Discount - Competitive Match,Discount,4
60,33,Competitor - CompetitorE,Competitor,3
61,33,Objection - Need More Stakeholder Buy-in,Objection,2
62,33,Security - Penetration Testing,Security,8
63,34,Budget - Approved,Budget,5
64,34,Technical - Data Migration Plan,Technical,2
65,34,Objection - Need More Stakeholder Buy-in,Objection,6
66,35,Decision Maker Involved,Buying Signal,3
67,35,Pricing - Requested Quote,Pricing,4
68,35,Competitor - CompetitorA,Competitor,1
69,35,Budget - Freeze Mentioned,Budget,4
70,35,Risk - Competitor Evaluation,Risk,1
71,35,Technical - Custom Workflow Needs,Technical,4
72,36,,,7
73,36,Risk - No Decision Likely,Risk,3
74,36,,,6
75,37,Competitor - CompetitorB,Competitor,8
76,37,Pricing - Compared to Competitor,Pricing,3
77,37,Pricing - Requested Quote,Pricing,5
78,37,Decision Timeline Confirmed,Buying Signal,2
79,42,,,3
80,42,Discount - Competitive Match,Discount,4
81,42,Technical - Performance Requirements,Technical,1
82,42,Security - GDPR Compliance,Security,1
83,42,POC Requested,Buying Signal,5
84,42,Risk - Champion Leaving,Risk,8
85,42,Risk - Legal Blockers,Risk,8
86,43,POC Requested,Buying Signal,7
87,43,Reference Call Requested,Buying Signal,2
88,43,Discount - Competitive Match,Discount,5
89,43,Technical - Data Migration Plan,Technical,1
90,44,Competitor - Open Source Alternative,Competitor,5
91,44,Technical - Custom Workflow Needs,Technical,4
92,44,Pricing - Too Expensive Objection,Pricing,6
93,44,,,6
94,44,POC Requested,Buying Signal,7
95,45,Budget - Needs Approval,Budget,5
96,45,,,3
97,45,Technical - API Integration,Technical,6
98,45,Pricing - Volume Discount,Pricing,8
99,45,Pricing - Enterprise Tier,Pricing,2
100,47,Contract Review Started,Buying Signal,3
101,47,Discount - Competitive Match,Discount,5
102,47,Competitor - CompetitorB,Competitor,4
103,47,Objection - Too Complex,Objection,7
104,47,Procurement Process Started,Buying Signal,4
105,47,Pricing - Compared to Competitor,Pricing,1
106,48,Competitor - CompetitorC,Competitor,7
107,48,Technical - Custom Workflow Needs,Technical,2
108,48,,,5
109,48,Competitor - CompetitorA,Competitor,3
110,48,Decision Maker Involved,Buying Signal,3
111,48,Decision Timeline Confirmed,Buying Signal,3
112,48,Pricing - Volume Discount,Pricing,-2
113,48,Procurement Process Started,Buying Signal,5
114,49,Budget - Approved,Budget,3
115,49,Security - SOC2 Compliance,Security,6
116,51,Risk - Budget Freeze,Risk,5
117,51,Competitor - Open Source Alternative,Competitor,-3
118,51,Discount - Multi-Year Ask,Discount,2
119,52,,,3
120,52,Technical - SSO / SAML Setup,Technical,5
121,52,POC Requested,Buying Signal,4
122,53,Contract Review Started,Buying Signal,6
123,53,Decision Timeline Confirmed,Buying Signal,5
124,53,Competitor - Open Source Alternative,Competitor,6
125,53,Discount - Multi-Year Ask,Discount,4
126,53,Risk - Champion Leaving,Risk,6
127,54,Pricing - Compared to Competitor,Pricing,8
128,54,,,4
129,54,Risk - Budget Freeze,Risk,7
130,54,Competitor - CompetitorE,Competitor,2
131,54,Pricing - Too Expensive Objection,Pricing,6
132,54,Objection - Team Adoption Concern,Objection,2
133,57,Next Steps Discussed,Buying Signal,7
134,57,Competitor - CompetitorC,Competitor,3
135,57,Risk - Delayed Timeline,Risk,4
136,59,Pricing - Too Expensive Objection,Pricing,5
137,59,Security - Data Residency,Security,3
138,59,Objection - Need More Stakeholder Buy-in,Objection,8
139,61,Procurement Process Started,Buying Signal,1
140,61,Risk - Budget Freeze,Risk,4
141,61,Risk - Competitor Evaluation,Risk,8
142,61,Risk - Stakeholder Pushback,Risk,1
143,61,Competitor - CompetitorE,Competitor,8
144,62,Next Steps Discussed,Buying Signal,1
145,62,Risk - Delayed Timeline,Risk,4
146,62,Objection - Switching Cost,Objection,8
147,62,Security - SOC2 Compliance,Security,2
148,63,Next Steps Discussed,Buying Signal,7
149,63,Competitor - CompetitorA,Competitor,6
150,63,Decision Timeline Confirmed,Buying Signal,6
151,63,Discount - End of Quarter,Discount,7
152,65,Contract Review Started,Buying Signal,5
153,65,Competitor - Open Source Alternative,Competitor,8
154,65,Competitor - CompetitorE,Competitor,6
155,66,Objection - Need More Stakeholder Buy-in,Objection,2
156,66,Competitor - CompetitorD,Competitor,-7
157,66,Competitor - CompetitorB,Competitor,3
158,70,Security - Penetration Testing,Security,2
159,74,Security - Penetration Testing,Security,1
160,75,Risk - Budget Freeze,Risk,1
161,76,Discount - End of Quarter,Discount,3
162,76,,,4
163,76,Next Steps Discussed,Buying Signal,2
164,76,,,6
165,76,Technical - Custom Workflow Needs,Technical,1
166,76,Objection - Too Complex,Objection,5
167,76,Risk - Budget Freeze,Risk,1
168,76,Competitor - CompetitorB,Competitor,1
169,77,Budget - Reallocating Funds,Budget,6
170,77,Discount - Multi-Year Ask,Discount,4
171,77,Technical - SSO / SAML Setup,Technical,3
172,77,Competitor - CompetitorE,Competitor,5
173,77,Objection - Switching Cost,Objection,4
174,77,Pricing - Compared to Competitor,Pricing,3
175,77,Risk - No Decision Likely,Risk,7
176,78,Technical - Data Migration Plan,Technical,6
177,78,Risk - Stakeholder Pushback,Risk,7
178,78,Pricing - Volume Discount,Pricing,8
179,78,Budget - Freeze Mentioned,Budget,2
180,80,Competitor - CompetitorD,Competitor,7
181,80,Technical - Performance Requirements,Technical,3
182,80,POC Requested,Buying Signal,1
183,80,Pricing - Volume Discount,Pricing,7
184,81,Competitor - CompetitorB,Competitor,4
185,82,Technical - Performance Requirements,Technical,7
186,82,Competitor - CompetitorC,Competitor,8
187,82,Discount - Multi-Year Ask,Discount,8
188,82,Pricing - Too Expensive Objection,Pricing,4
189,83,Competitor - CompetitorE,Competitor,6
190,83,Pricing - Too Expensive Objection,Pricing,3
191,83,,,3
192,83,Competitor - CompetitorB,Competitor,8
193,83,Pricing - Volume Discount,Pricing,5
194,83,Technical - SSO / SAML Setup,Technical,7
195,83,Competitor - CompetitorD,Competitor,4
196,85,Pricing - Volume Discount,Pricing,5
197,85,Competitor - CompetitorE,Competitor,3
198,85,Reference Call Requested,Buying Signal,5
199,86,Discount - Competitive Match,Discount,5
200,88,Risk - Delayed Timeline,Risk,8
201,88,Competitor - CompetitorA,Competitor,4
202,88,Reference Call Requested,Buying Signal,3
203,88,Competitor - CompetitorB,Competitor,-8
204,88,Competitor - CompetitorC,Competitor,7
205,90,Objection - Team Adoption Concern,Objection,3
206,90,Security - Data Residency,Security,4
207,90,Competitor - CompetitorD,Competitor,4
208,90,Security - GDPR Compliance,Security,3
209,91,Pricing - Enterprise Tier,Pricing,1
210,91,,,4
211,91,Discount - Multi-Year Ask,Discount,6
212,91,Risk - Delayed Timeline,Risk,6
213,95,Technical - API Integration,Technical,1
214,96,Security - Data Residency,Security,7
215,96,Discount - Competitive Match,Discount,7
216,96,Procurement Process Started,Buying Signal,7
217,96,Risk - Legal Blockers,Risk,3
218,96,Objection - Switching Cost,Objection,2
219,96,Objection - Need More Stakeholder Buy-in,Objection,6
220,96,Competitor - Open Source Alternative,Competitor,2
221,97,Pricing - Too Expensive Objection,Pricing,2
222,97,Pricing - Compared to Competitor,Pricing,2
223,97,Risk - Budget Freeze,Risk,7
224,99,Competitor - CompetitorD,Competitor,5
225,100,Technical - API Integration,Technical,7
226,100,Discount - End of Quarter,Discount,4
227,100,Risk - Stakeholder Pushback,Risk,8
228,100,Risk - Legal Blockers,Risk,7
229,100,Discount - Competitive Match,Discount,-4
230,100,Objection - Missing Feature,Objection,3
231,100,Risk - Champion Leaving,Risk,4
232,103,Discount - Competitive Match,Discount,7
233,103,Budget - Needs Approval,Budget,7
234,103,Reference Call Requested,Buying Signal,3
235,103,Security - Data Residency,Security,7
236,104,Technical - SSO / SAML Setup,Technical,-6
237,104,Next Steps Discussed,Buying Signal,2
238,104,Objection - Too Complex,Objection,3
239,106,Risk - No Decision Likely,Risk,5
240,106,Competitor - CompetitorA,Competitor,6
241,106,Pricing - Volume Discount,Pricing,5
242,108,Discount - End of Quarter,Discount,3
243,108,Budget - Approved,Budget,1
244,108,Competitor - CompetitorC,Competitor,5
245,108,Risk - No Decision Likely,Risk,4
246,110,Objection - Too Complex,Objection,1
247,110,Competitor - CompetitorD,Competitor,6
248,110,Competitor - CompetitorA,Competitor,6
249,110,Objection - Switching Cost,Objection,3
250,110,Risk - Legal Blockers,Risk,7
251,110,Pricing - Volume Discount,Pricing,8
252,111,Risk - Competitor Evaluation,Risk,8
253,111,Budget - Approved,Budget,4
254,111,Competitor - CompetitorA,Competitor,4
255,112,Competitor - CompetitorB,Competitor,6
256,112,Competitor - Open Source Alternative,Competitor,7
257,112,Budget - Freeze Mentioned,Budget,4
258,112,Pricing - Compared to Competitor,Pricing,1
259,113,Discount - End of Quarter,Discount,4
260,113,Budget - Needs Approval,Budget,2
261,113,Pricing - Requested Quote,Pricing,7
262,113,Technical - API Integration,Technical,4
263,113,Technical - Data Migration Plan,Technical,2
264,113,Competitor - CompetitorA,Competitor,5
265,115,Objection - Switching Cost,Objection,1
266,115,Risk - Budget Freeze,Risk,1
267,115,Competitor - CompetitorE,Competitor,4
268,115,Procurement Process Started,Buying Signal,2
269,115,Pricing - Volume Discount,Pricing,7
270,115,Pricing - Compared to Competitor,Pricing,7
271,116,Decision Timeline Confirmed,Buying Signal,1
272,116,Budget - Needs Approval,Budget,3
273,116,Discount - Competitive Match,Discount,6
274,116,Pricing - Requested Quote,Pricing,2
275,119,Competitor - Open Source Alternative,Competitor,3
276,119,Budget - Freeze Mentioned,Budget,8
277,120,Pricing - Compared to Competitor,Pricing,2
278,120,Risk - Stakeholder Pushback,Risk,6
279,120,Competitor - CompetitorD,Competitor,5
280,120,Technical - Performance Requirements,Technical,8
281,120,Pricing - Too Expensive Objection,Pricing,4
282,123,Technical - API Integration,Technical,1
283,123,Pricing - Compared to Competitor,Pricing,3
284,123,Next Steps Discussed,Buying Signal,6
285,123,Objection - Need More Stakeholder Buy-in,Objection,2
286,123,Contract Review Started,Buying Signal,6
287,124,Objection - Need More Stakeholder Buy-in,Objection,7
288,125,,,8
289,125,Pricing - Too Expensive Objection,Pricing,3
290,125,Competitor - Open Source Alternative,Competitor,2
291,125,Security - SSO Requirement,Security,6
292,126,Technical - Performance Requirements,Technical,5
293,126,Objection - Too Complex,Objection,6
294,126,Reference Call Requested,Buying Signal,5
295,126,Objection - Need More Stakeholder Buy-in,Objection,7
296,126,Competitor - CompetitorD,Competitor,4
297,126,Next Steps Discussed,Buying Signal,2
298,127,Procurement Process Started,Buying Signal,4
299,127,Objection - Need More Stakeholder Buy-in,Objection,7
300,127,Discount - Competitive Match,Discount,4
301,127,Risk - Stakeholder Pushback,Risk,3
302,128,Competitor - Open Source Alternative,Competitor,8
303,128,Pricing - Too Expensive Objection,Pricing,1
304,129,Competitor - CompetitorD,Competitor,6
305,129,Decision Timeline Confirmed,Buying Signal,4
306,129,Discount - Multi-Year Ask,Discount,8
307,129,Risk - Stakeholder Pushback,Risk,-6
308,129,Pricing - Volume Discount,Pricing,6
309,129,Contract Review Started,Buying Signal,1
310,129,Risk - No Decision Likely,Risk,6
311,131,Reference Call Requested,Buying Signal,2
312,131,Objection - Switching Cost,Objection,1
313,131,Discount - Competitive Match,Discount,5
314,131,Risk - Champion Leaving,Risk,8
315,131,Pricing - Requested Quote,Pricing,2
316,131,Pricing - Too Expensive Objection,Pricing,6
317,134,Objection - Team Adoption Concern,Objection,3
318,134,Technical - SSO / SAML Setup,Technical,2
319,134,POC Requested,Buying Signal,6
320,134,,,6
321,134,,,6
322,135,Budget - Reallocating Funds,Budget,6
323,137,Technical - API Integration,Technical,4
324,137,Risk - Delayed Timeline,Risk,1
325,139,Security - Penetration Testing,Security,5
326,139,Discount - Multi-Year Ask,Discount,8
327,139,Budget - Needs Approval,Budget,8
328,141,Pricing - Too Expensive Objection,Pricing,6
329,141,Risk - Budget Freeze,Risk,7
330,141,Decision Timeline Confirmed,Buying Signal,7
331,141,Risk - No Decision Likely,Risk,7
332,142,Discount - Competitive Match,Discount,4
333,143,Reference Call Requested,Buying Signal,8
334,143,Competitor - CompetitorB,Competitor,2
335,143,Objection - Too Complex,Objection,7
336,143,Objection - Switching Cost,Objection,5
337,144,Risk - Budget Freeze,Risk,6
338,144,Procurement Process Started,Buying Signal,8
339,144,Pricing - Requested Quote,Pricing,1
340,144,Competitor - CompetitorD,Competitor,4
341,145,Discount - Multi-Year Ask,Discount,6
342,145,Budget - Needs Approval,Budget,3
343,145,Pricing - Requested Quote,Pricing,6
344,145,Competitor - CompetitorB,Competitor,1
345,145,Risk - Stakeholder Pushback,Risk,4
346,145,Contract Review Started,Buying Signal,3
347,146,Competitor - CompetitorE,Competitor,7
348,146,Objection - Switching Cost,Objection,2
349,146,Competitor - CompetitorC,Competitor,2
350,147,Competitor - CompetitorB,Competitor,7
351,147,Pricing - Requested Quote,Pricing,7
352,147,Budget - Needs Approval,Budget,5
353,147,Pricing - Compared to Competitor,Pricing,1
354,150,Risk - No Decision Likely,Risk,4
355,150,Competitor - CompetitorC,Competitor,7
356,150,Contract Review Started,Buying Signal,5
357,150,Decision Timeline Confirmed,Buying Signal,6
358,151,Objection - Need More Stakeholder Buy-in,Objection,3
359,151,Risk - No Decision Likely,Risk,3
360,154,Decision Maker Involved,Buying Signal,2
361,154,Risk - Champion Leaving,Risk,2
362,155,Risk - No Decision Likely,Risk,3
363,155,Budget - Reallocating Funds,Budget,7
364,155,Decision Timeline Confirmed,Buying Signal,8
365,155,Risk - Budget Freeze,Risk,2
366,157,Risk - No Decision Likely,Risk,5
367,157,Objection - Missing Feature,Objection,4
368,157,Objection - Team Adoption Concern,Objection,2
369,157,Security - GDPR Compliance,Security,5
370,157,Pricing - Compared to Competitor,Pricing,4
371,158,Risk - Budget Freeze,Risk,1
372,158,Objection - Missing Feature,Objection,4
373,158,Pricing - Compared to Competitor,Pricing,5
374,158,Pricing - Enterprise Tier,Pricing,8
375,159,Objection - Too Complex,Objection,4
376,159,Risk - No Decision Likely,Risk,5
377,159,Contract Review Started,Buying Signal,5
378,159,Discount - Multi-Year Ask,Discount,5
379,159,Technical - API Integration,Technical,3
380,159,Competitor - CompetitorB,Competitor,4
381,159,Technical - Performance Requirements,Technical,1
382,159,Objection - Need More Stakeholder Buy-in,Objection,2
383,160,Technical - API Integration,Technical,5
384,160,Competitor - CompetitorA,Competitor,2
385,162,Competitor - CompetitorE,Competitor,5
386,162,Risk - No Decision Likely,Risk,1
387,162,Budget - Needs Approval,Budget,7
388,162,Discount - End of Quarter,Discount,3
389,165,Discount - End of Quarter,Discount,3
390,166,Pricing - Compared to Competitor,Pricing,2
391,166,Competitor - Open Source Alternative,Competitor,7
392,166,Security - Penetration Testing,Security,4
393,169,Risk - Stakeholder Pushback,Risk,8
394,169,Budget - Freeze Mentioned,Budget,6
395,169,Technical - API Integration,Technical,6
396,169,Reference Call Requested,Buying Signal,8
397,169,Objection - Missing Feature,Objection,-6
398,169,Pricing - Too Expensive Objection,Pricing,8
399,171,Budget - Reallocating Funds,Budget,8
400,171,Decision Timeline Confirmed,Buying Signal,1
401,171,Risk - No Decision Likely,Risk,5
402,173,Technical - SSO / SAML Setup,Technical,7
403,173,Risk - Legal Blockers,Risk,7
404,173,Discount - Competitive Match,Discount,8
405,173,Procurement Process Started,Buying Signal,1
406,173,Security - Data Residency,Security,7
407,174,Pricing - Enterprise Tier,Pricing,1
408,174,Risk - Legal Blockers,Risk,5
409,174,Risk - Delayed Timeline,Risk,4
410,174,Technical - Performance Requirements,Technical,6
411,174,Competitor - CompetitorD,Competitor,6
412,176,Objection - Switching Cost,Objection,3
413,177,,,8
414,178,Budget - Needs Approval,Budget,3
415,178,,,7
416,178,Pricing - Enterprise Tier,Pricing,4
417,178,Risk - Legal Blockers,Risk,8
418,179,Technical - Data Migration Plan,Technical,2
419,180,Competitor - CompetitorD,Competitor,3
420,180,Technical - API Integration,Technical,2
421,180,Risk - Legal Blockers,Risk,8
422,183,Next Steps Discussed,Buying Signal,6
423,183,Technical - Performance Requirements,Technical,7
424,183,Discount - Multi-Year Ask,Discount,6
425,183,Technical - API Integration,Technical,3
426,185,Pricing - Requested Quote,Pricing,3
427,185,Risk - Competitor Evaluation,Risk,6
428,185,Competitor - CompetitorD,Competitor,2
429,185,Next Steps Discussed,Buying Signal,4
430,186,Objection - Team Adoption Concern,Objection,6
431,186,Risk - Competitor Evaluation,Risk,8
432,187,Risk - Budget Freeze,Risk,4
433,187,Competitor - Open Source Alternative,Competitor,4
434,187,Objection - Need More Stakeholder Buy-in,Objection,1
435,187,Objection - Too Complex,Objection,2
436,188,Objection - Team Adoption Concern,Objection,4
437,188,Budget - Freeze Mentioned,Budget,5
438,189,Competitor - CompetitorB,Competitor,8
439,189,Risk - Legal Blockers,Risk,3
440,189,Reference Call Requested,Buying Signal,3
441,189,Objection - Missing Feature,Objection,7
442,189,Objection - Switching Cost,Objection,3
443,189,Risk - Stakeholder Pushback,Risk,1
444,189,Pricing - Enterprise Tier,Pricing,3
445,190,Pricing - Enterprise Tier,Pricing,1
446,190,Pricing - Compared to Competitor,Pricing,2
447,190,Discount - Competitive Match,Discount,4
448,191,Risk - No Decision Likely,Risk,3
449,191,Discount - Competitive Match,Discount,4
450,192,Decision Maker Involved,Buying Signal,3
451,193,Competitor - CompetitorA,Competitor,8
452,193,Security - SOC2 Compliance,Security,7
453,193,Risk - Budget Freeze,Risk,5
454,193,Budget - Freeze Mentioned,Budget,-8
455,193,Pricing - Enterprise Tier,Pricing,7
456,194,Objection - Missing Feature,Objection,2
457,194,Competitor - CompetitorE,Competitor,3
458,194,Competitor - CompetitorD,Competitor,7
459,194,Security - SSO Requirement,Security,8
460,197,Risk - Competitor Evaluation,Risk,1
461,197,Pricing - Enterprise Tier,Pricing,6
462,197,Risk - Champion Leaving,Risk,2
463,197,Technical - Data Migration Plan,Technical,4
464,197,Technical - SSO / SAML Setup,Technical,3
465,197,Competitor - CompetitorB,Competitor,6
466,197,Technical - Custom Workflow Needs,Technical,2
467,197,Budget - Freeze Mentioned,Budget,5
468,199,Security - SSO Requirement,Security,3
469,199,Objection - Too Complex,Objection,8
470,199,Competitor - CompetitorB,Competitor,6
471,199,Technical - Data Migration Plan,Technical,3
472,199,Objection - Missing Feature,Objection,4
473,201,Technical - Data Migration Plan,Technical,1
474,201,Pricing - Compared to Competitor,Pricing,-4
475,201,Technical - Custom Workflow Needs,Technical,5
476,201,Discount - Multi-Year Ask,Discount,4
477,203,Objection - Missing Feature,Objection,5
478,203,Budget - Freeze Mentioned,Budget,7
479,203,Reference Call Requested,Buying Signal,2
480,203,Technical - Performance Requirements,Technical,7
481,203,Budget - Reallocating Funds,Budget,3
482,206,Competitor - CompetitorE,Competitor,6
483,206,Decision Maker Involved,Buying Signal,5
484,206,,,1
485,206,Risk - Legal Blockers,Risk,6
486,206,Risk - Stakeholder Pushback,Risk,6
487,206,Competitor - CompetitorB,Competitor,-1
488,206,,,6
489,206,Pricing - Too Expensive Objection,Pricing,4
490,209,Discount - Multi-Year Ask,Discount,3
491,209,Competitor - CompetitorA,Competitor,8
492,209,Security - SSO Requirement,Security,8
493,210,Technical - Data Migration Plan,Technical,3
494,210,,,-1
495,210,Decision Maker Involved,Buying Signal,1
496,212,Risk - No Decision Likely,Risk,8
497,212,Competitor - Open Source Alternative,Competitor,2
498,212,Objection - Switching Cost,Objection,1
499,212,Competitor - CompetitorA,Competitor,5
500,213,Competitor - CompetitorC,Competitor,2
501,213,Discount - Competitive Match,Discount,7
502,213,Objection - Too Complex,Objection,5
503,213,Discount - Multi-Year Ask,Discount,7
504,213,Objection - Team Adoption Concern,Objection,2
505,213,Risk - Budget Freeze,Risk,2
506,213,Budget - Needs Approval,Budget,8
507,217,Pricing - Too Expensive Objection,Pricing,2
508,217,Risk - No Decision Likely,Risk,2
509,217,Pricing - Compared to Competitor,Pricing,3
510,218,Technical - SSO / SAML Setup,Technical,1
511,218,Security - GDPR Compliance,Security,3
512,218,Competitor - CompetitorA,Competitor,4
513,218,Next Steps Discussed,Buying Signal,7
514,220,Security - Data Residency,Security,2
515,220,Security - SSO Requirement,Security,6
516,220,Pricing - Requested Quote,Pricing,7
517,220,Pricing - Too Expensive Objection,Pricing,2
518,221,Competitor - CompetitorC,Competitor,5
519,221,Procurement Process Started,Buying Signal,1
520,221,Objection - Missing Feature,Objection,4
521,221,Risk - No Decision Likely,Risk,5
522,222,Discount - Multi-Year Ask,Discount,2
523,222,Pricing - Requested Quote,Pricing,1
524,225,Discount - End of Quarter,Discount,5
525,225,Competitor - Open Source Alternative,Competitor,1
526,225,Pricing - Enterprise Tier,Pricing,2
527,225,Security - SSO Requirement,Security,5
528,226,Next Steps Discussed,Buying Signal,8
529,226,Risk - Legal Blockers,Risk,6
530,226,Technical - Data Migration Plan,Technical,6
531,229,Discount - Multi-Year Ask,Discount,4
532,229,Security - SSO Requirement,Security,6
533,229,Next Steps Discussed,Buying Signal,8
534,230,Discount - Competitive Match,Discount,4
535,230,Budget - Approved,Budget,2
536,230,Risk - Budget Freeze,Risk,3
537,231,Pricing - Too Expensive Objection,Pricing,8
538,231,Pricing - Volume Discount,Pricing,2
539,231,Competitor - CompetitorB,Competitor,6
540,234,Risk - No Decision Likely,Risk,6
541,234,Discount - Competitive Match,Discount,3
542,234,Competitor - CompetitorC,Competitor,3
543,234,Objection - Switching Cost,Objection,6
544,234,Objection - Too Complex,Objection,2
545,235,Pricing - Compared to Competitor,Pricing,6
546,235,Objection - Need More Stakeholder Buy-in,Objection,-2
547,235,Competitor - CompetitorE,Competitor,3
548,237,Reference Call Requested,Buying Signal,7
549,237,Objection - Team Adoption Concern,Objection,1
550,237,Pricing - Too Expensive Objection,Pricing,3
551,239,Security - Data Residency,Security,8
552,240,Security - Penetration Testing,Security,5
553,240,Decision Maker Involved,Buying Signal,7
554,241,Procurement Process Started,Buying Signal,8
555,242,Pricing - Volume Discount,Pricing,3
556,242,Decision Timeline Confirmed,Buying Signal,7
557,242,POC Requested,Buying Signal,8
558,242,Objection - Missing Feature,Objection,8
559,242,Contract Review Started,Buying Signal,5
560,242,Next Steps Discussed,Buying Signal,4
561,244,Objection - Need More Stakeholder Buy-in,Objection,4
562,244,Pricing - Enterprise Tier,Pricing,3
563,246,Competitor - CompetitorE,Competitor,3
564,246,Reference Call Requested,Buying Signal,3
565,247,Risk - Legal Blockers,Risk,6
566,247,Objection - Too Complex,Objection,4
567,247,Security - GDPR Compliance,Security,2
568,247,Competitor - CompetitorB,Competitor,7
569,247,Risk - No Decision Likely,Risk,6
570,248,Technical - SSO / SAML Setup,Technical,3
571,248,Budget - Freeze Mentioned,Budget,7
572,248,Competitor - CompetitorC,Competitor,7
573,249,Competitor - CompetitorE,Competitor,5
574,249,Objection - Need More Stakeholder Buy-in,Objection,6
575,249,Risk - Legal Blockers,Risk,7
576,249,Competitor - CompetitorC,Competitor,8
577,249,Budget - Reallocating Funds,Budget,7
578,249,Risk - Delayed Timeline,Risk,4
579,250,Discount - Competitive Match,Discount,7
580,250,Decision Timeline Confirmed,Buying Signal,2
581,252,Budget - Approved,Budget,4
582,252,Technical - Performance Requirements,Technical,7
583,252,Decision Timeline Confirmed,Buying Signal,5
584,252,POC Requested,Buying Signal,5
585,252,Procurement Process Started,Buying Signal,7
586,255,Technical - API Integration,Technical,8
587,255,Security - SSO Requirement,Security,3
588,255,Decision Timeline Confirmed,Buying Signal,1
589,255,Pricing - Too Expensive Objection,Pricing,7
590,259,Risk - No Decision Likely,Risk,4
591,259,Competitor - CompetitorA,Competitor,5
592,259,Discount - End of Quarter,Discount,3
593,260,Decision Timeline Confirmed,Buying Signal,-1
594,262,Decision Timeline Confirmed,Buying Signal,3
595,262,Budget - Needs Approval,Budget,2
596,262,Objection - Missing Feature,Objection,3
597,262,Competitor - CompetitorB,Competitor,1
598,263,Risk - Legal Blockers,Risk,4
599,263,Technical - Custom Workflow Needs,Technical,5
600,263,Objection - Too Complex,Objection,2
601,263,,,1
602,263,Risk - No Decision Likely,Risk,1
603,263,Risk - Champion Leaving,Risk,4
604,263,Pricing - Enterprise Tier,Pricing,5
605,263,Reference Call Requested,Buying Signal,6
606,264,Competitor - Open Source Alternative,Competitor,4
607,264,Competitor - CompetitorA,Competitor,7
608,264,Competitor - CompetitorE,Competitor,2
609,264,Risk - Stakeholder Pushback,Risk,6
610,264,Objection - Switching Cost,Objection,2
611,265,Objection - Switching Cost,Objection,8
612,265,Risk - No Decision Likely,Risk,2
613,265,Risk - Champion Leaving,Risk,8
614,265,Budget - Freeze Mentioned,Budget,3
615,267,Security - GDPR Compliance,Security,6
616,267,Competitor - CompetitorA,Competitor,7
617,267,Decision Timeline Confirmed,Buying Signal,2
618,267,Contract Review Started,Buying Signal,6
619,268,Security - Data Residency,Security,-2
620,268,Competitor - Open Source Alternative,Competitor,1
621,268,Risk - Champion Leaving,Risk,2
622,269,Contract Review Started,Buying Signal,6
623,269,Reference Call Requested,Buying Signal,-2
624,269,Pricing - Requested Quote,Pricing,8
625,270,Pricing - Enterprise Tier,Pricing,1
