call_id,opp_id,owner_id,call_date,duration_minutes,direction,call_type,disposition,num_participants,talk_ratio_rep,longest_monologue_sec,question_count,next_steps_mentioned
66,2560,8,2022-12-07T09:00:00,41,Outbound,Demo,Completed,4,0.64,136,14,False
67,1868,7,2024-02-15T15:45:00,0,Outbound,Check-In,No Show,1,,,0,False
68,1228,8,2024-06-26T09:15:00,35,Outbound,Discovery,Rescheduled,1,,,0,False
69,744,3,2024-12-17T13:15:00,,Outbound,Technical Deep Dive,Completed,4,0.68,220,3,True
70,3502,14,2024-09-17T09:00:00,46,Outbound,Check-In,Completed,7,0.46,140,10,True
71,1226,11,2024-12-23T13:30:00,2,Outbound,Demo,Voicemail,1,,,0,False
72,2255,3,2024-12-09T10:00:00,38,Outbound,Negotiation,Rescheduled,1,,,0,False
73,3148,3,2030-06-15T10:00:00,29,Inbound,Technical Deep Dive,Completed,4,0.54,256,4,False
74,622,13,2024-01-09T12:45:00,28,Outbound,Technical Deep Dive,Completed,2,0.58,43,4,True
75,1594,2,2024-06-22T12:00:00,27,Outbound,Technical Deep Dive,Completed,6,0.48,111,15,True
76,2242,10,2024-12-10T12:15:00,59,Outbound,Discovery,Completed,4,0.63,209,15,True
77,3913,5,2024-10-24T12:00:00,60,Outbound,Check-In,Completed,5,0.47,51,8,False
78,1835,5,2022-10-12T14:15:00,53,Outbound,Check-In,Completed,8,0.5,197,11,True
79,432,13,2022-08-23T09:00:00,19,Outbound,Check-In,Rescheduled,1,,,0,False
80,4971,7,2024-08-22T13:15:00,49,Outbound,Technical Deep Dive,Completed,8,0.59,236,20,True
81,206,5,2024-09-21T12:30:00,43,Outbound,Negotiation,Completed,3,0.52,179,16,True
82,3020,1,2024-04-17T11:00:00,42,Outbound,QBR,Completed,6,0.33,51,4,True
83,4087,4,2023-05-01T09:30:00,60,Outbound,QBR,Completed,8,0.66,124,7,True
84,4390,13,2024-12-28T17:00:00,0,Outbound,Check-In,No Show,1,,,0,False
85,1693,13,2024-12-31T13:15:00,35,Inbound,Follow-Up,Completed,8,0.53,69,5,False
86,1860,16,2024-12-18T10:00:00,15,Outbound,Demo,Completed,8,0.44,182,7,True
87,1072,12,2024-08-02T15:45:00,1,Outbound,Discovery,Voicemail,1,,,0,False
88,240,12,2024-12-12T13:00:00,58,Outbound,Check-In,Completed,3,0.62,237,12,True
89,4164,1,2024-04-09T12:45:00,54,Inbound,Discovery,Rescheduled,1,,,0,False
90,4306,8,2023-10-16T14:15:00,18,Inbound,Negotiation,Completed,4,0.52,73,14,True
91,2902,4,2022-04-19T15:00:00,57,Outbound,Technical Deep Dive,Completed,2,0.43,178,14,True
92,4584,16,2024-12-21T11:15:00,1,Outbound,Negotiation,Voicemail,1,,,0,False
93,4,2,2024-08-05T11:30:00,,Inbound,Negotiation,Completed,6,0.46,54,18,True
94,4951,11,2024-05-02T14:45:00,0,Outbound,Negotiation,No Show,1,,,0,False
95,3293,2,2024-12-29T15:30:00,25,Outbound,Demo,Completed,4,0.32,171,13,False
96,195,6,2024-06-02T16:45:00,47,Outbound,Technical Deep Dive,Completed,5,0.47,218,4,False
97,769,10,2024-12-13T12:00:00,15,Inbound,Follow-Up,Completed,5,0.7,182,6,True
98,1790,1,2023-02-02T08:30:00,,Outbound,Demo,Completed,5,0.33,97,6,False
99,1335,9,2023-04-24T16:30:00,35,Outbound,Negotiation,Completed,7,0.46,107,15,False
100,2261,13,2024-04-19T12:15:00,54,Outbound,Check-In,Completed,8,0.54,240,8,False
101,2716,3,2021-11-20T08:15:00,33,Outbound,QBR,Rescheduled,1,,,0,False
102,2990,10,2024-05-14T14:45:00,-30,Outbound,Negotiation,Completed,4,0.48,130,13,False
103,1831,13,2024-05-11T13:15:00,30,Outbound,Negotiation,Completed,2,0.77,221,11,False
104,4575,8,2020-12-31T11:15:00,22,Outbound,Technical Deep Dive,Completed,5,0.45,172,19,True
105,2029,1,2024-11-09T13:15:00,46,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
106,756,8,2024-10-17T10:00:00,45,Outbound,Demo,Completed,8,0.55,154,19,False
107,2831,14,2023-02-18T11:15:00,0,Inbound,Demo,No Show,1,,,0,False
108,2969,6,2024-03-18T12:00:00,48,Outbound,QBR,Completed,5,0.68,140,11,False
109,633,16,2024-12-08T13:00:00,0,Outbound,Negotiation,No Show,1,,,0,False
110,3855,12,2023-04-08T14:30:00,52,Inbound,Check-In,Completed,7,0.75,208,4,False
111,2507,12,2022-09-26T12:15:00,43,Outbound,QBR,Completed,6,0.66,110,10,False
112,4627,8,2021-02-13T13:15:00,53,Outbound,QBR,Completed,7,0.75,160,11,True
113,3436,13,2023-02-06T14:00:00,40,Inbound,Demo,Completed,5,1.22,132,4,True
114,1018,14,2023-07-19T12:15:00,0,Inbound,Technical Deep Dive,No Show,1,,,0,False
115,2115,16,2024-12-27T10:45:00,57,Inbound,Follow-Up,Completed,5,0.69,119,10,True
116,3749,1,2023-09-12T13:00:00,53,Outbound,Negotiation,Completed,4,0.34,167,19,False
117,915,15,2023-12-23T12:30:00,3,Outbound,Negotiation,Voicemail,1,,,0,False
118,2182,1,2024-08-24T09:15:00,-20,Inbound,Check-In,Completed,5,0.53,210,24,True
119,1232,16,2024-12-17T12:45:00,15,Outbound,QBR,Completed,4,0.51,41,12,False
120,1362,12,2024-07-21T10:00:00,39,Outbound,QBR,Completed,5,1.05,127,9,True
121,4131,2,2024-12-23T09:30:00,0,Inbound,Discovery,No Show,1,,,0,False
122,1160,8,2024-04-05T12:00:00,0,Outbound,Check-In,No Show,1,,,0,False
123,33,14,2022-12-22T13:30:00,59,Outbound,Check-In,Completed,4,0.49,80,15,False
124,4121,12,2024-09-03T17:00:00,19,Inbound,Check-In,Completed,8,0.74,34,10,False
125,2913,8,2024-09-05T11:45:00,34,Outbound,Discovery,Completed,6,0.44,193,12,False
126,3113,5,2023-05-09T09:30:00,47,Outbound,Discovery,Completed,8,0.45,127,20,False
127,3468,3,2024-12-26T12:45:00,49,Outbound,Negotiation,Completed,6,0.38,37,14,False
128,588,6,2021-11-03T15:45:00,31,Outbound,Technical Deep Dive,Completed,3,0.35,103,15,True
129,4966,16,2024-05-18T15:00:00,56,Outbound,Negotiation,Completed,7,0.73,188,7,False
130,1017,12,2023-07-28T14:30:00,22,Outbound,Negotiation,Completed,6,0.48,115,8,True
131,3568,6,2024-12-18T10:00:00,55,Inbound,Discovery,Completed,7,0.59,96,7,False
132,3086,9,2024-12-01T12:00:00,,Inbound,Follow-Up,Rescheduled,1,,,0,False
133,4633,16,2024-09-13T10:45:00,34,Outbound,Follow-Up,Rescheduled,1,,,0,False
134,3599,2,2024-04-09T15:30:00,32,Outbound,Negotiation,Completed,7,1.16,39,19,True
135,994,1,2024-03-03T12:30:00,33,Inbound,Negotiation,Completed,5,0.31,88,20,True
136,2091,7,2024-07-16T09:00:00,27,Inbound,Follow-Up,Completed,2,0.58,31,5,True
137,1938,6,2024-10-27T16:15:00,29,Outbound,QBR,Completed,6,0.68,286,7,False
138,3774,7,2024-04-14T13:15:00,0,Outbound,Follow-Up,No Show,1,,,0,False
139,362,9,2023-12-14T14:15:00,29,Inbound,Follow-Up,Completed,8,0.46,226,9,True
140,2731,3,2024-11-20T10:45:00,0,Inbound,Demo,No Show,1,,,0,False
141,3656,10,2024-04-18T14:15:00,33,Outbound,Follow-Up,Completed,3,0.67,151,9,True
142,438,6,2030-06-15T10:00:00,20,Outbound,Negotiation,Completed,8,0.47,189,15,True
143,4605,6,2024-11-29T09:00:00,48,Inbound,QBR,Completed,7,0.48,134,20,True
144,808,1,2024-04-24T12:30:00,44,Outbound,Negotiation,Completed,8,0.46,75,10,True
145,201,7,2023-12-06T13:30:00,49,Inbound,Technical Deep Dive,Completed,2,0.6,83,9,False
146,4367,8,2024-09-15T15:45:00,46,Outbound,Technical Deep Dive,Completed,3,0.69,100,14,False
147,4030,7,2024-01-06T09:45:00,41,Outbound,Follow-Up,Completed,5,0.43,119,14,False
148,1320,6,2023-11-01T09:30:00,45,Inbound,QBR,Rescheduled,1,,,0,False
149,2231,15,2023-07-26T14:00:00,-31,Outbound,Follow-Up,Completed,4,0.66,145,4,False
150,890,3,2024-04-10T11:45:00,45,Outbound,Check-In,Completed,4,0.28,105,27,True
151,4973,14,2024-12-21T13:30:00,47,Inbound,QBR,Completed,5,0.64,94,8,True
152,60,10,2024-12-03T09:00:00,0,Outbound,Negotiation,No Show,1,,,0,False
153,432,13,2022-09-04T16:00:00,2,Outbound,QBR,Voicemail,1,,,0,False
154,3498,16,2024-12-17T11:00:00,18,Outbound,Demo,Completed,8,0.56,246,5,False
155,2821,9,2024-12-15T16:15:00,44,Outbound,Demo,Completed,5,0.53,110,12,True
156,1538,13,2024-02-07T16:45:00,39,Inbound,Negotiation,Rescheduled,1,,,0,False
157,3876,6,2024-12-23T14:00:00,49,Outbound,Follow-Up,Completed,8,0.4,223,6,False
158,406,2,2023-08-25T11:15:00,24,Outbound,Demo,Completed,3,0.64,68,13,False
159,360,3,2024-06-28T10:15:00,56,Outbound,Technical Deep Dive,Completed,4,0.47,68,4,True
160,3488,3,2024-03-18T13:30:00,42,Outbound,QBR,Completed,2,0.48,41,16,True
161,599,14,2024-08-12T13:15:00,34,Outbound,Negotiation,Completed,6,0.53,62,12,True
162,3373,8,2022-09-21T14:00:00,22,Outbound,Technical Deep Dive,Completed,8,0.64,168,4,True
163,1991,11,2024-03-12T12:15:00,,Outbound,Technical Deep Dive,Completed,7,0.5,39,12,True
164,4171,12,2024-12-04T15:15:00,2,Outbound,Check-In,Voicemail,1,,,0,False
165,2816,14,2024-10-12T13:30:00,45,Outbound,Technical Deep Dive,Completed,7,0.59,84,7,True
166,4597,5,2020-09-24T13:45:00,51,Inbound,Discovery,Completed,4,0.66,240,9,True
167,944,10,2024-12-04T15:45:00,0,Outbound,Follow-Up,No Show,1,,,0,False
168,2788,6,2024-01-24T10:15:00,0,Outbound,Negotiation,No Show,1,,,0,False
169,3280,1,2024-12-09T16:00:00,60,Inbound,Technical Deep Dive,Completed,8,0.63,171,15,True
170,4326,5,2024-10-15T12:45:00,57,Outbound,Follow-Up,Rescheduled,1,,,0,False
171,342,4,2023-08-09T15:15:00,51,Outbound,Discovery,Completed,2,0.5,192,16,False
172,4202,2,2024-12-13T12:00:00,37,Inbound,QBR,Rescheduled,1,,,0,False
173,4860,6,2022-12-13T15:00:00,29,Outbound,Discovery,Completed,7,0.59,194,18,True
174,259,12,2022-09-07T14:00:00,43,Outbound,Discovery,Completed,6,0.55,89,3,False
175,612,1,2022-03-24T09:00:00,31,Inbound,Technical Deep Dive,Rescheduled,1,,,0,False
176,4015,16,2024-12-05T14:45:00,39,Outbound,Demo,Completed,2,0.43,36,15,False
177,265,7,2024-08-01T11:30:00,31,Inbound,Discovery,Completed,4,0.56,37,20,True
178,1362,12,2024-08-26T10:00:00,46,Outbound,Technical Deep Dive,Completed,8,0.69,90,14,False
179,1745,9,2024-12-29T11:00:00,37,Outbound,Technical Deep Dive,Completed,2,0.78,88,1,False
180,1599,7,2023-12-15T14:45:00,17,Outbound,Technical Deep Dive,Completed,4,0.7,73,9,True
181,1020,2,2022-08-02T12:00:00,-19,Outbound,QBR,Completed,7,0.53,111,15,False
182,2044,12,2024-04-23T10:45:00,28,Outbound,Follow-Up,Rescheduled,1,,,0,False
183,3708,8,2023-03-04T15:15:00,55,Inbound,Negotiation,Completed,5,0.7,213,10,False
184,125,3,2024-12-21T10:45:00,38,Inbound,Demo,Rescheduled,1,,,0,False
185,1505,9,2024-12-10T11:45:00,50,Outbound,Technical Deep Dive,Completed,7,0.49,138,18,True
186,3497,14,2024-09-18T10:45:00,16,Outbound,Negotiation,Completed,7,0.46,54,9,False
187,4144,16,2024-12-10T16:00:00,53,Inbound,Technical Deep Dive,Completed,2,0.88,166,6,False
188,1524,5,2024-05-26T11:45:00,29,Inbound,Negotiation,Completed,3,0.62,168,18,True
189,2752,3,2022-12-01T14:15:00,58,Outbound,Follow-Up,Completed,4,0.68,58,3,False
190,342,4,2023-06-07T15:45:00,59,Outbound,Negotiation,Completed,7,0.55,204,18,True
191,2564,12,2023-04-07T10:15:00,35,Outbound,Check-In,Completed,3,0.52,219,5,False
192,4816,16,2024-12-08T12:15:00,40,Outbound,Negotiation,Completed,4,0.56,105,20,True
193,3991,16,2023-06-13T09:15:00,28,Inbound,QBR,Completed,2,0.42,51,9,False
194,2252,13,2030-06-15T10:00:00,57,Outbound,Check-In,Completed,4,0.56,50,7,False
195,2082,2,2024-12-22T14:45:00,20,Outbound,QBR,Completed,5,0.6,152,6,True
196,4005,15,2022-07-30T12:45:00,0,Outbound,Follow-Up,No Show,1,,,0,False
197,1944,16,2024-11-30T09:30:00,51,Outbound,Discovery,Completed,4,0.58,79,4,False
198,4726,2,2023-03-12T14:00:00,58,Inbound,QBR,Rescheduled,1,,,0,False
199,2686,3,2024-10-16T12:45:00,33,Inbound,QBR,Completed,2,0.51,93,20,False
200,4139,8,2023-06-16T10:00:00,40,Outbound,Discovery,Rescheduled,1,,,0,False
201,2337,4,2024-12-09T10:45:00,54,Outbound,Follow-Up,Completed,4,1.05,30,9,False
202,2037,1,2024-06-28T09:30:00,16,Outbound,QBR,Completed,2,0.32,184,8,True
203,2242,10,2024-11-03T17:15:00,53,Outbound,Negotiation,Completed,3,0.51,74,3,False
204,4778,5,2024-03-24T16:30:00,-38,Inbound,Discovery,Completed,5,0.46,136,6,True
205,149,16,2024-11-30T16:45:00,44,Outbound,Discovery,Rescheduled,1,,,0,False
206,1491,9,2024-12-26T10:45:00,51,Inbound,Negotiation,Completed,4,0.46,54,18,False
207,273,2,2024-12-15T13:30:00,18,Outbound,Negotiation,Rescheduled,1,,,0,False
208,3821,9,2023-03-03T10:45:00,0,Outbound,Follow-Up,No Show,1,,,0,False
209,3407,8,2024-12-16T13:00:00,40,Outbound,Negotiation,Completed,2,0.65,157,8,False
210,4922,16,2024-04-02T11:15:00,15,Outbound,Technical Deep Dive,Completed,2,0.53,76,16,False
211,1752,2,2023-04-04T12:30:00,-36,Outbound,Technical Deep Dive,Completed,6,1.28,205,4,True
212,515,14,2022-05-18T10:30:00,38,Inbound,Discovery,Completed,6,0.76,35,7,False
213,1471,8,2023-12-02T09:15:00,58,Outbound,Technical Deep Dive,Completed,5,0.72,169,12,False
214,2596,4,2024-10-23T11:15:00,,Outbound,QBR,Completed,6,0.37,81,19,False
215,1935,3,2024-10-22T10:30:00,2,Inbound,Demo,Voicemail,1,,,0,False
216,1060,1,2024-12-04T11:00:00,,Inbound,Negotiation,Completed,4,0.32,208,8,False
217,4266,16,2021-01-09T11:45:00,31,Outbound,Demo,Completed,5,0.59,210,15,True
218,1965,13,2024-10-19T10:00:00,36,Outbound,Technical Deep Dive,Completed,2,0.6,218,13,True
219,24,12,2022-09-12T10:45:00,2,Inbound,Discovery,Voicemail,1,,,0,False
220,501,9,2023-07-27T11:15:00,48,Inbound,QBR,Completed,5,0.46,119,11,True
221,2262,1,2020-07-03T14:45:00,45,Outbound,QBR,Completed,8,0.52,188,15,False
222,4065,4,2024-08-31T10:00:00,47,Outbound,Check-In,Completed,7,0.34,33,16,True
223,2034,8,2023-01-18T10:00:00,1,Outbound,Technical Deep Dive,Voicemail,1,,,0,False
224,2709,3,2024-11-22T12:30:00,15,Outbound,Technical Deep Dive,Completed,6,0.48,218,21,True
225,3592,9,2024-07-20T09:45:00,37,Outbound,Check-In,Completed,8,0.41,193,6,True
226,960,12,2024-12-05T16:30:00,46,Outbound,Check-In,Completed,4,0.69,161,16,False
227,773,10,2023-11-29T17:45:00,1,Outbound,Negotiation,Voicemail,1,,,0,False
228,3449,6,2024-12-28T16:00:00,26,Inbound,Discovery,Rescheduled,1,,,0,False
229,4707,5,2023-04-28T14:00:00,34,Outbound,Check-In,Completed,7,0.57,218,15,True
230,4146,1,2024-10-02T12:00:00,43,Inbound,Negotiation,Completed,2,0.59,89,20,False
231,23,8,2020-12-31T14:30:00,35,Inbound,QBR,Completed,2,0.56,235,14,False
232,3012,11,2022-12-16T12:30:00,40,Outbound,QBR,Rescheduled,1,,,0,False
233,92,14,2022-03-01T15:00:00,60,Outbound,Follow-Up,Rescheduled,1,,,0,False
234,2893,7,2024-12-13T13:45:00,47,Inbound,Discovery,Completed,4,0.72,205,9,False
235,2512,3,2024-12-22T15:30:00,55,Outbound,Check-In,Completed,7,0.48,236,16,True
236,2596,4,2024-12-14T14:00:00,0,Outbound,Discovery,No Show,1,,,0,False
237,4242,11,2022-10-04T10:15:00,23,Outbound,QBR,Completed,6,0.66,55,9,True
238,4115,9,2024-03-03T13:00:00,,Inbound,QBR,Completed,5,0.42,102,9,True
239,3483,5,2024-06-24T13:45:00,41,Outbound,Discovery,Completed,5,0.65,107,18,False
240,4008,6,2024-06-09T13:00:00,34,Outbound,QBR,Completed,3,0.5,72,9,False
241,2932,11,2024-12-24T12:30:00,22,Outbound,QBR,Completed,2,0.57,197,15,False
242,2498,3,2024-08-29T11:15:00,55,Outbound,Demo,Completed,5,0.45,170,22,True
243,2601,13,2024-04-03T10:45:00,0,Outbound,Negotiation,No Show,1,,,0,False
244,3247,1,2021-09-16T12:30:00,49,Outbound,Discovery,Completed,2,0.36,49,22,True
245,3732,7,2024-06-18T14:15:00,2,Outbound,Discovery,Voicemail,1,,,0,False
246,620,5,2024-12-23T11:15:00,18,Outbound,Follow-Up,Completed,6,0.54,71,5,False
247,424,1,2024-10-17T14:00:00,58,Outbound,Follow-Up,Completed,3,0.57,92,6,False
248,3652,7,2023-12-27T14:45:00,50,Inbound,Discovery,Completed,5,0.62,122,16,True
249,4721,14,2022-11-05T12:30:00,38,Outbound,Follow-Up,Completed,7,0.64,284,6,False
250,2574,6,2022-12-23T10:45:00,27,Outbound,Demo,Completed,6,0.37,56,17,True
251,3110,6,2024-12-17T11:15:00,38,Inbound,Check-In,Rescheduled,1,,,0,False
252,4786,3,2023-06-15T11:45:00,46,Outbound,QBR,Completed,5,0.35,164,26,True
253,72,10,2021-04-18T15:30:00,59,Outbound,Discovery,Rescheduled,1,,,0,False
254,2630,12,2024-12-16T16:15:00,15,Outbound,Follow-Up,Completed,4,0.41,185,13,True
255,2401,10,2024-12-07T17:45:00,40,Outbound,Demo,Completed,3,0.39,104,6,False
256,3193,15,2024-02-24T14:45:00,0,Outbound,Demo,No Show,1,,,0,False
257,1765,12,2024-11-23T11:30:00,,Outbound,QBR,Completed,7,0.45,234,14,True
258,653,6,2023-09-26T10:00:00,38,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
259,1156,14,2030-06-15T10:00:00,54,Outbound,Check-In,Completed,4,0.69,187,9,False
260,430,2,2024-12-13T10:30:00,33,Inbound,Negotiation,Completed,6,0.33,232,18,False
261,106,11,2022-06-17T10:15:00,59,Inbound,Technical Deep Dive,Rescheduled,1,,,0,False
262,1113,2,2024-12-01T12:00:00,38,Outbound,Follow-Up,Completed,3,0.3,55,4,False
263,3188,11,2022-07-29T12:15:00,57,Outbound,QBR,Completed,2,0.84,57,13,False
264,2111,16,2024-08-01T12:45:00,41,Outbound,Technical Deep Dive,Completed,4,0.71,65,2,False
265,4108,16,2023-07-25T08:45:00,47,Inbound,Demo,Completed,2,0.56,194,8,False
266,407,2,2024-12-23T15:00:00,21,Outbound,Check-In,Completed,6,0.35,219,14,False
267,210,8,2024-09-23T13:45:00,17,Inbound,Discovery,Completed,7,0.6,221,14,True
268,4132,11,2024-04-08T12:30:00,31,Outbound,Technical Deep Dive,Completed,5,0.65,71,12,False
269,738,14,2024-11-01T11:15:00,36,Outbound,Technical Deep Dive,Completed,8,0.65,169,13,False
270,1261,16,2024-06-29T15:15:00,45,Inbound,Discovery,Completed,3,0.61,207,4,False
271,2311,6,2022-10-05T11:15:00,42,Inbound,Negotiation,Completed,2,0.37,63,10,False
272,337,2,2024-06-15T09:00:00,47,Outbound,Follow-Up,Completed,6,1.38,127,18,True
273,2812,16,2024-12-05T11:15:00,45,Outbound,Check-In,Completed,6,0.44,35,9,False
274,1941,3,2024-12-23T15:45:00,40,Inbound,QBR,Completed,5,0.31,120,4,True
275,3888,13,2024-12-26T14:45:00,0,Outbound,Check-In,No Show,1,,,0,False
276,4310,6,2024-10-02T13:15:00,45,Outbound,Demo,Completed,7,0.66,98,10,False
277,4815,9,2024-08-12T15:45:00,19,Outbound,Negotiation,Completed,3,0.39,38,10,True
278,4121,12,2024-11-21T14:15:00,51,Inbound,Negotiation,Completed,8,0.75,135,3,False
279,800,12,2024-03-19T15:30:00,36,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
280,2601,13,2024-03-12T17:15:00,50,Outbound,Discovery,Completed,6,0.44,106,16,True
281,1272,5,2022-10-18T14:15:00,42,Outbound,Check-In,Completed,6,0.5,208,12,False
282,4412,12,2022-08-21T15:00:00,2,Outbound,Negotiation,Voicemail,1,,,0,False
283,1399,5,2024-06-22T13:45:00,15,Inbound,Demo,Completed,2,0.46,158,14,False
284,4797,14,2024-09-27T10:45:00,30,Inbound,Discovery,Completed,2,0.46,130,11,True
285,1674,8,2024-12-15T15:30:00,30,Outbound,Follow-Up,Completed,3,0.32,83,11,True
286,647,9,2022-06-08T09:45:00,49,Outbound,Follow-Up,Completed,4,0.68,94,5,False
287,3454,9,2024-12-11T11:30:00,57,Outbound,QBR,Completed,4,0.6,102,11,False
