activity_id,lead_id,campaign_id,activity_type,activity_date,utm_source
118,1379,106,Content Download,2023-10-25T22:43:00,
119,2715,4,Email Click,2021-01-03T03:23:00,
120,2423,149,Form Fill,2024-06-02T22:18:00,linkedin
121,6621,138,Page Visit,2024-05-05T20:13:00,referral
122,2740,154,Email Open,2024-04-17T21:54:00,
123,3077,142,Content Download,2022-04-27T18:46:00,
124,5518,49,Webinar Registration,2023-05-17T12:58:00,
125,5995,156,Email Open,2024-04-06T07:19:00,
126,3126,189,Unsubscribe,2024-12-01T03:42:00,
127,7323,127,Email Open,2020-03-08T18:38:00,
128,5907,165,Page Visit,2021-03-12T04:12:00,direct
129,3425,196,Webinar Registration,2024-04-30T18:55:00,
130,7365,5,Form Fill,2023-10-20T03:48:00,direct
131,46,164,Content Download,2022-03-04T22:49:00,
132,6847,182,Ad Click,2021-03-06T12:01:00,twitter
133,7752,115,Email Bounce,2020-06-19T17:59:00,
134,7216,58,Email Open,2023-02-01T23:25:00,
135,6929,80,Email Open,2023-03-23T17:44:00,
136,1575,173,Form Fill,2023-07-11T04:27:00,direct
137,4539,166,Page Visit,2023-07-26T05:00:00,direct
138,2991,95,Email Open,2030-03-15T14:30:00,
139,1732,20,Content Download,2021-11-30T19:12:00,
140,2406,81,Webinar Attended,2020-04-01T00:05:00,
141,2425,165,Email Click,2021-02-03T03:13:00,
142,1503,51,Content Download,2024-05-29T10:28:00,
143,819,187,Form Fill,2021-12-15T13:32:00,linkedin
144,2917,196,Email Open,2024-04-16T18:06:00,
145,7704,107,Form Fill,2021-10-24T20:33:00,direct
146,4907,108,Email Open,2023-11-30T14:15:00,
147,4424,110,Page Visit,2023-01-13T22:24:00,referral
148,4559,116,Form Fill,2024-01-26T04:52:00,
149,328,94,Email Open,2030-03-15T14:30:00,
150,1590,97,Content Download,2021-08-15T06:51:00,
151,1254,151,Page Visit,2023-02-19T07:23:00,direct
152,592,16,Content Download,2023-12-09T09:19:00,
153,7797,17,Form Fill,2022-09-17T12:45:00,twitter
154,4620,103,,2023-04-08T16:58:00,facebook
155,3157,177,Page Visit,2020-07-09T05:17:00,twitter
156,5967,148,Email Open,2020-06-07T16:29:00,
157,6716,198,Email Click,2022-07-25T04:12:00,
158,3474,189,Webinar Attended,2024-12-20T19:40:00,
159,5707,126,Email Open,2021-06-23T09:12:00,
160,5359,97,Email Open,2021-09-20T11:58:00,
161,3471,165,Email Open,2021-02-14T10:42:00,
162,2994,44,Page Visit,2021-06-20T20:07:00,facebook
163,4771,31,Ad Click,2020-08-15T03:32:00,twitter
164,7425,91,Ad Click,2024-03-28T20:20:00,linkedin
165,6303,120,Email Click,2021-03-10T19:22:00,
166,150,166,Content Download,2023-06-18T07:31:00,
167,3910,22,Page Visit,2021-01-01T21:53:00,google
168,5487,74,Email Bounce,2023-03-26T07:49:00,
169,782,66,Email Open,2023-05-14T17:41:00,
170,6283,92,Page Visit,2021-07-17T14:31:00,twitter
171,3391,96,Webinar Registration,2021-10-28T23:49:00,
172,325,147,Ad Click,2022-06-29T02:21:00,
173,3290,14,Email Open,2020-08-03T02:49:00,
174,5528,44,Content Download,2021-06-10T23:41:00,
175,5640,52,Form Fill,2020-11-10T11:14:00,twitter
176,39,49,Email Open,2023-05-12T09:31:00,
177,5084,151,Content Download,2023-01-19T22:34:00,
178,1686,199,Email Open,2024-02-26T09:34:00,
179,7040,130,Page Visit,2021-05-11T00:51:00,twitter
180,4985,109,Email Open,2020-03-29T23:46:00,
181,7944,177,Ad Click,2020-05-29T02:33:00,direct
182,7788,188,Ad Click,2024-06-19T10:04:00,facebook
183,6596,5,Email Click,2023-10-10T14:05:00,
184,2028,11,Content Download,2022-05-17T12:23:00,
185,2380,13,Email Open,2023-06-23T14:55:00,
186,2796,64,Page Visit,2022-08-29T18:45:00,facebook
187,7639,3,Email Open,2024-02-09T16:58:00,
188,209,96,,2021-11-14T22:46:00,
189,3147,98,Email Click,2023-08-17T17:56:00,
190,769,1,Email Open,2020-02-28T13:25:00,
191,5807,78,Content Download,2020-11-28T12:05:00,
192,5148,188,Content Download,2024-05-18T01:44:00,
193,5832,169,Email Open,2024-05-07T05:30:00,
194,1275,180,,2021-09-26T06:11:00,
195,5571,44,Form Fill,2021-06-13T14:45:00,google
196,1562,74,Form Fill,2023-04-06T09:42:00,referral
197,6545,105,Content Download,2021-07-31T08:38:00,
198,6676,107,Email Open,2021-11-22T07:52:00,
199,659,92,Form Fill,2021-07-17T02:56:00,google
200,6002,154,,2024-06-09T07:07:00,
201,4778,1,Email Click,2020-01-18T17:45:00,
202,7902,189,Page Visit,2024-09-25T05:45:00,referral
203,1864,165,Ad Click,2021-02-04T12:13:00,linkedin
204,5228,11,Email Open,2022-05-10T03:15:00,
205,2042,10,Unsubscribe,2023-04-26T18:52:00,
206,4688,72,Email Open,2024-06-30T14:58:00,
207,4172,87,Email Bounce,2021-03-25T20:47:00,
208,7654,149,Content Download,2024-06-17T03:14:00,
209,3057,121,Email Open,2020-06-26T05:57:00,
210,1367,176,Page Visit,2023-08-09T12:01:00,twitter
211,2078,134,Page Visit,2021-01-11T03:42:00,google
212,252,73,Page Visit,2021-07-25T11:49:00,linkedin
213,2026,,Content Download,2020-09-09T08:48:00,
214,6697,87,Form Fill,2021-01-30T05:57:00,facebook
215,4090,141,Email Click,2022-12-08T14:15:00,
216,3704,59,Email Open,2022-11-22T17:15:00,
217,4105,2,Content Download,2024-11-25T17:08:00,
218,4925,128,Email Click,2020-10-05T19:56:00,
219,4027,103,Content Download,2023-04-13T19:15:00,
220,393,18,Email Click,2024-04-04T23:26:00,
221,5255,58,Page Visit,2023-01-04T15:06:00,twitter
222,1725,93,Content Download,2021-04-07T22:25:00,
223,2224,116,Email Open,2024-02-01T11:14:00,
224,4574,8,Webinar Registration,2024-11-16T05:18:00,
225,2951,73,Email Open,2021-08-30T16:35:00,
226,4514,62,Email Open,2021-02-07T19:19:00,
227,5488,13,Email Click,2023-06-05T10:19:00,
228,7307,102,Page Visit,2023-05-08T12:33:00,linkedin
229,1716,146,Email Click,2023-12-23T11:36:00,
230,6745,168,Ad Click,2020-12-30T13:15:00,facebook
231,5712,200,,2023-07-13T05:19:00,
232,945,88,Form Fill,2024-03-29T12:44:00,
233,7086,67,Content Download,2022-03-12T08:51:00,
234,3414,173,Email Open,2023-07-20T09:58:00,
235,1490,193,Page Visit,2020-12-09T09:36:00,google
236,5008,121,Ad Click,2020-06-05T08:41:00,facebook
237,1160,163,Form Fill,2021-11-28T04:03:00,google
238,1913,119,Form Fill,2023-08-16T21:09:00,referral
239,5143,64,Content Download,2022-08-05T17:57:00,
240,6325,49,Form Fill,2023-05-28T03:43:00,google
241,152,152,Ad Click,2020-04-23T12:37:00,referral
242,3023,123,Content Download,2020-04-03T10:02:00,
243,69,135,Webinar Registration,2024-12-02T12:06:00,
244,3472,133,Email Bounce,2020-03-25T17:20:00,
245,7066,59,Content Download,2022-11-18T19:28:00,
246,3854,189,Email Click,2024-10-03T21:39:00,
247,144,109,Email Click,2020-04-13T17:54:00,
248,7705,75,Email Open,2023-10-08T04:15:00,
249,1178,136,Content Download,2020-05-24T05:37:00,
250,5436,169,,2024-04-28T13:03:00,
251,386,36,Unsubscribe,2021-02-04T20:23:00,
252,6058,149,Email Open,2024-05-29T14:33:00,
253,6117,77,Ad Click,2020-04-06T01:31:00,facebook
254,6719,162,Ad Click,2024-03-17T11:36:00,direct
255,7384,71,Webinar Attended,2021-06-02T05:20:00,
256,1397,118,Webinar Attended,2023-10-18T06:27:00,
257,1167,82,Page Visit,2024-12-19T08:49:00,twitter
258,2787,92,Email Click,2021-07-16T18:06:00,
259,7818,133,Webinar Registration,2020-04-18T00:30:00,
260,6558,120,Webinar Registration,2021-03-28T21:43:00,
261,7135,22,Content Download,2021-01-06T02:23:00,
262,6760,135,Webinar Registration,2024-10-29T04:26:00,
263,5392,81,Email Click,2020-04-21T01:58:00,
264,1481,187,Content Download,2021-11-20T06:16:00,
265,3607,34,Email Open,2023-05-30T03:47:00,
266,7399,181,Ad Click,2030-03-15T14:30:00,linkedin
267,5005,53,Email Open,2023-12-07T05:30:00,
268,102,191,Webinar Registration,2023-03-28T19:48:00,
269,6770,193,Form Fill,2020-11-28T05:31:00,direct
270,1837,29,Page Visit,2020-10-27T22:24:00,direct
271,4720,4,Email Click,2021-01-07T13:21:00,
272,5741,9,Email Open,2020-10-17T22:41:00,
273,285,44,Webinar Registration,2021-06-22T01:23:00,
274,4106,87,Form Fill,2021-01-22T03:24:00,twitter
275,4322,132,Email Open,2030-03-15T14:30:00,
276,492,105,Email Open,2021-07-20T00:45:00,
277,4592,22,Ad Click,2020-12-30T02:29:00,direct
278,2622,110,Email Open,2023-01-03T04:13:00,
279,1397,119,Webinar Registration,2023-08-08T05:52:00,
280,1631,10,Email Bounce,2023-01-22T06:10:00,
281,3819,38,Email Bounce,2024-04-19T22:32:00,
282,6592,155,Form Fill,2021-12-08T06:57:00,facebook
283,7185,199,Content Download,2024-01-10T02:41:00,
284,584,153,Ad Click,2021-09-27T16:23:00,direct
285,3937,39,Email Open,2021-01-04T01:27:00,
286,1456,47,Form Fill,2020-03-23T21:56:00,referral
287,5302,,Unsubscribe,2023-10-25T08:30:00,
288,4401,29,Email Open,2020-11-03T03:51:00,
289,3492,51,Form Fill,2024-05-29T00:55:00,twitter
290,1296,199,Email Open,2024-03-13T19:04:00,
291,7889,75,Content Download,2023-09-20T16:42:00,
292,4147,193,Email Click,2020-12-15T17:42:00,
293,4094,111,Ad Click,2024-11-29T03:27:00,
294,7413,124,Email Open,2022-02-28T09:59:00,
295,2501,55,Form Fill,2022-01-14T20:18:00,twitter
296,273,90,Email Open,2020-10-22T13:20:00,
297,1203,157,Email Open,2020-08-02T10:20:00,
298,7102,156,Page Visit,2024-02-16T10:01:00,twitter
299,4237,60,Email Click,2021-03-13T20:00:00,
300,1098,141,Email Open,2022-12-05T22:55:00,
301,4265,49,Email Click,2023-05-20T08:31:00,
302,2070,150,Unsubscribe,2021-01-14T14:50:00,
303,3396,116,Webinar Attended,2024-02-01T05:04:00,
304,2119,,Page Visit,2023-04-11T02:54:00,google
305,3309,129,Content Download,2023-01-17T23:31:00,
306,886,23,Content Download,2023-12-11T13:33:00,
307,3514,6,Content Download,2024-12-13T22:25:00,
308,7379,173,Webinar Registration,2023-06-24T08:22:00,
309,922,54,Email Open,2023-04-02T23:31:00,
310,4635,104,Content Download,2021-05-17T14:48:00,
311,3581,92,Email Bounce,2021-09-24T00:20:00,
312,6457,140,Email Open,2030-03-15T14:30:00,
313,513,39,Email Open,2020-11-10T08:15:00,
314,5618,39,Ad Click,2021-01-13T01:51:00,direct
315,5105,118,Webinar Registration,2023-11-15T00:23:00,
316,2481,156,Webinar Registration,2024-02-29T10:39:00,
317,5647,180,Content Download,2021-09-17T06:15:00,
318,3094,,Webinar Registration,2020-11-10T08:17:00,
319,7475,10,Ad Click,2023-02-12T00:40:00,twitter
320,6199,113,Email Open,2020-11-07T11:33:00,
321,1757,9,Email Open,2020-11-03T05:47:00,
322,2287,149,Email Open,2024-06-01T21:22:00,
323,6900,105,Email Click,2021-07-11T12:05:00,
324,7501,119,Email Open,2023-08-16T14:16:00,
325,4299,90,Page Visit,2020-10-24T12:58:00,referral
326,4459,115,Page Visit,2020-04-24T06:56:00,linkedin
327,7669,86,,2021-10-13T21:36:00,
328,5187,104,Email Open,2021-04-19T23:59:00,
329,2786,132,Unsubscribe,2022-10-13T12:33:00,
330,2032,,Form Fill,2020-10-21T07:26:00,google
331,3728,179,Content Download,2020-05-17T13:23:00,
332,7082,189,Unsubscribe,2024-10-23T01:34:00,
333,5578,127,Email Click,2020-02-24T12:56:00,
334,4444,60,Email Click,2021-03-11T11:23:00,
335,3168,43,Email Open,2030-03-15T14:30:00,
336,3450,,Page Visit,2024-07-18T00:39:00,referral
337,5381,116,Page Visit,2024-01-25T19:11:00,twitter
338,2265,104,Content Download,2021-02-13T22:27:00,
339,561,195,Page Visit,2024-11-17T13:00:00,
340,6326,61,Webinar Registration,2023-06-17T07:02:00,
341,6215,,Page Visit,2020-11-01T23:43:00,facebook
342,7538,190,Email Click,2023-03-08T20:32:00,
343,3502,113,Webinar Attended,2021-01-16T21:05:00,
344,1574,63,Email Click,2022-06-12T21:55:00,
345,3408,69,Email Bounce,2020-07-16T19:47:00,
346,276,80,Page Visit,2023-03-29T11:20:00,
347,123,154,Email Bounce,2024-04-16T12:48:00,
348,1567,151,Page Visit,2023-01-14T00:32:00,linkedin
349,978,35,Form Fill,2020-12-02T14:27:00,google
350,457,120,Email Open,2021-03-05T02:12:00,
351,5212,58,,2023-01-13T10:44:00,direct
352,6172,17,Page Visit,2022-08-19T10:27:00,referral
353,2847,168,Ad Click,2021-01-12T09:37:00,
354,4220,167,Webinar Registration,2020-09-29T05:01:00,
355,3434,8,Form Fill,2024-12-05T09:33:00,direct
356,4348,172,Email Bounce,2020-10-22T20:34:00,
357,6660,199,Email Open,2024-03-17T03:31:00,
358,407,126,Content Download,2021-07-11T09:25:00,
359,492,116,Email Open,2024-01-26T19:28:00,
360,1349,81,Webinar Registration,2020-04-16T19:58:00,
361,2565,49,Form Fill,2023-04-29T15:50:00,direct
362,3621,83,Form Fill,2024-09-04T08:58:00,facebook
363,5863,69,Form Fill,2020-10-29T04:15:00,facebook
364,491,87,Page Visit,2021-02-12T00:23:00,twitter
365,1727,199,Email Open,2024-03-21T00:54:00,
366,6779,44,Email Bounce,2021-06-12T16:05:00,
367,5570,167,Email Open,2020-11-13T15:13:00,
368,7220,135,Email Open,2024-11-23T07:08:00,
369,2913,119,Form Fill,2023-09-01T17:42:00,facebook
370,4001,43,Email Open,2020-04-27T18:37:00,
371,4567,13,Content Download,2023-06-21T21:28:00,
372,3185,169,Content Download,2024-07-05T06:48:00,
373,7930,17,Webinar Registration,2022-08-29T20:50:00,
374,5032,116,Webinar Registration,2024-02-04T22:16:00,
375,6151,135,Email Click,2024-10-25T21:25:00,
376,4507,176,Email Open,2023-07-04T13:42:00,
377,2657,106,Email Open,2023-10-24T16:45:00,
378,1596,123,Form Fill,2020-04-21T17:26:00,
379,3717,197,Content Download,2021-01-06T17:12:00,
380,4966,191,Content Download,2023-03-22T11:37:00,
381,2421,62,Unsubscribe,2021-03-25T12:27:00,
382,2779,124,Email Open,2022-02-05T13:26:00,
383,7439,139,Ad Click,2020-10-21T16:57:00,google
384,101,127,Content Download,2020-02-25T02:59:00,
385,7181,54,Unsubscribe,2023-03-05T06:46:00,
386,3428,109,Content Download,2020-02-13T17:08:00,
387,6902,99,Email Open,2022-11-09T04:52:00,
388,2787,,Webinar Registration,2022-02-26T14:44:00,
389,7422,125,Page Visit,2030-03-15T14:30:00,linkedin
390,6523,76,Webinar Attended,2021-05-09T20:57:00,
391,3546,150,Ad Click,2021-01-21T21:10:00,
392,7975,37,Webinar Attended,2022-03-08T04:17:00,
393,2651,38,Page Visit,2024-05-18T20:34:00,referral
394,3345,7,Content Download,2023-10-22T14:23:00,
395,1104,131,Email Open,2022-08-07T14:25:00,
396,3449,136,,2020-05-06T01:57:00,
397,7935,83,Email Open,2024-09-09T04:19:00,
398,6288,,Page Visit,2021-07-22T08:19:00,linkedin
399,1788,33,Form Fill,2020-11-27T06:27:00,facebook
400,5951,128,Email Click,2020-10-17T03:40:00,
401,6771,193,Content Download,2020-11-26T01:29:00,
402,7569,124,Email Open,2022-02-08T17:58:00,
403,813,159,Email Click,2021-07-11T09:19:00,
404,1990,4,Email Open,2030-03-15T14:30:00,
405,229,184,Email Open,2021-03-20T02:48:00,
406,5505,135,Email Open,2024-11-09T16:43:00,
407,7875,122,Page Visit,2023-10-26T04:49:00,linkedin
408,1262,77,Email Open,2020-03-02T03:03:00,
409,3742,72,Email Open,2024-07-11T21:57:00,
410,732,78,Email Click,2020-11-03T11:18:00,
411,6221,107,Form Fill,2021-10-28T15:12:00,direct
412,689,192,Unsubscribe,2024-09-19T12:53:00,
413,4521,68,Email Click,2024-12-12T00:00:00,
414,190,178,Ad Click,2021-05-23T21:09:00,direct
415,5073,131,Page Visit,2022-08-19T00:33:00,google
416,4013,88,Content Download,2024-04-05T16:12:00,
417,5673,27,Email Open,2023-02-15T21:53:00,
418,721,86,Form Fill,2021-10-16T08:37:00,referral
419,5643,52,Email Open,2020-10-22T23:14:00,
420,3756,41,Email Click,2030-03-15T14:30:00,
421,6983,112,,2020-09-07T02:25:00,
422,4165,36,Content Download,2021-02-02T00:18:00,
423,7599,127,Content Download,2020-02-10T08:20:00,
424,6995,142,Email Click,2022-05-20T22:18:00,
425,1390,47,Email Open,2020-03-17T09:56:00,
426,6114,155,Content Download,2021-11-17T23:04:00,
427,2557,132,Page Visit,2022-10-29T23:52:00,linkedin
428,2758,144,Form Fill,2022-10-31T21:59:00,google
429,3826,,Page Visit,2021-01-31T05:00:00,direct
430,5613,175,Ad Click,2020-06-06T07:20:00,google
431,6853,62,Email Click,2021-05-04T05:45:00,
432,6307,135,Webinar Attended,2024-10-16T18:49:00,
433,7018,130,Content Download,2021-06-05T22:14:00,
434,4428,75,Email Open,2023-10-17T16:09:00,
435,1735,,Email Click,2022-10-02T23:52:00,
436,3197,,Page Visit,2023-07-26T13:35:00,linkedin
437,2387,93,Unsubscribe,2021-04-01T20:31:00,
438,7904,98,Email Open,2023-08-10T03:07:00,
439,3148,,Ad Click,2022-03-12T13:50:00,google
440,7539,184,Email Open,2021-02-25T05:42:00,
441,7521,145,Email Open,2020-06-07T15:02:00,
442,593,24,Webinar Attended,2023-04-09T16:24:00,
443,4989,,,2021-12-09T07:28:00,
444,4204,94,Form Fill,2020-08-17T20:40:00,facebook
445,1106,197,Form Fill,2021-01-23T19:19:00,direct
446,4513,94,Webinar Registration,2020-08-23T02:48:00,
447,4956,146,Email Open,2023-11-28T01:07:00,
448,2834,20,Email Click,2021-12-13T20:34:00,
449,7156,112,Email Open,2020-09-13T16:29:00,
450,5670,17,Form Fill,2022-09-10T21:41:00,google
451,2553,137,Page Visit,2023-07-03T05:06:00,referral
452,5271,189,Email Click,2024-11-22T16:13:00,
453,5062,11,Ad Click,2022-05-06T05:22:00,twitter
454,2390,127,Email Bounce,2020-02-03T19:27:00,
455,5086,150,Email Open,2021-01-18T22:11:00,
456,658,12,Webinar Registration,2022-06-26T12:57:00,
457,3109,97,Form Fill,2021-08-31T14:36:00,linkedin
458,2054,97,Content Download,2021-08-12T17:08:00,
459,3259,160,Form Fill,2021-01-16T08:47:00,
460,4835,166,Form Fill,2023-08-01T11:18:00,linkedin
461,6910,150,Ad Click,2020-12-30T16:04:00,twitter
462,6749,153,Email Open,2021-09-24T07:31:00,
463,4894,27,Email Open,2023-02-11T16:53:00,
464,7910,188,Page Visit,2024-06-11T10:24:00,referral
465,3967,182,Email Open,2021-02-21T12:29:00,
466,4696,48,Email Bounce,2022-04-16T18:39:00,
467,7389,11,Content Download,2022-04-28T01:22:00,
468,7421,87,Content Download,2021-04-24T01:10:00,
469,2222,124,Form Fill,2022-03-06T23:06:00,
470,7207,47,Email Open,2020-03-22T05:30:00,
471,5305,200,Email Click,2023-07-05T21:09:00,
472,2216,169,Page Visit,2024-04-29T04:23:00,google
473,1875,186,Content Download,2024-11-08T10:55:00,
474,7335,87,Email Click,2021-03-31T16:58:00,
475,3645,,Email Open,2024-06-18T11:07:00,
476,5353,189,Ad Click,2024-09-23T15:26:00,facebook
477,4562,181,Ad Click,2022-01-03T10:52:00,facebook
478,7649,4,Form Fill,2021-01-16T02:12:00,twitter
479,26,117,Email Open,2021-01-05T17:49:00,
480,1627,95,Ad Click,2020-01-23T22:12:00,facebook
481,2805,99,Form Fill,2022-12-10T00:07:00,twitter
482,10,122,Email Open,2023-09-05T18:11:00,
483,2987,49,Form Fill,2023-04-20T07:32:00,google
484,1234,50,Content Download,2030-03-15T14:30:00,
485,4365,75,Webinar Attended,2023-10-28T05:04:00,
486,5468,24,Webinar Registration,2023-03-18T10:23:00,
487,639,122,Unsubscribe,2023-10-29T01:27:00,
488,3032,57,,2021-05-30T10:44:00,
489,1613,147,Email Open,2022-06-20T18:11:00,
490,7306,35,Content Download,2021-01-08T00:23:00,
491,5942,73,Content Download,2021-09-05T16:25:00,
492,5857,129,Unsubscribe,2023-01-24T23:34:00,
493,1740,121,Email Click,2020-06-15T06:33:00,
494,6256,50,Content Download,2024-09-16T04:03:00,
495,183,65,Content Download,2022-10-16T06:34:00,
496,4157,182,Email Open,2020-12-22T12:11:00,
497,5473,13,Webinar Registration,2023-06-24T05:07:00,
498,4562,4,Email Click,2021-01-01T16:35:00,
499,1910,192,Form Fill,2024-09-18T09:20:00,
500,2541,109,Webinar Registration,2020-03-11T06:47:00,
501,4997,52,Email Click,2020-10-24T02:55:00,
502,4397,103,Form Fill,2023-05-08T15:09:00,twitter
503,2688,116,Form Fill,2024-01-27T19:23:00,referral
504,7522,7,Email Open,2023-10-25T10:04:00,
505,462,167,Form Fill,2020-11-04T18:13:00,linkedin
506,498,80,Email Open,2023-03-22T07:03:00,
507,2405,124,Email Open,2022-02-23T23:29:00,
508,6115,175,Page Visit,2020-05-21T01:36:00,twitter
509,5191,167,Form Fill,2020-09-10T00:29:00,facebook
510,7384,124,Email Open,2022-02-09T17:51:00,
511,2772,195,Page Visit,2024-11-17T04:49:00,referral
512,5494,96,Content Download,2021-11-28T06:16:00,
